ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,source_cellstates,target_cellstates,lr_pair_examples
OMG,OMG,5,0.166450333208007,0.12053604599322863,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_Homeostatic,CapEC_ActHigh;Cerebrovascular_Pericyte,OMG - TNFRSF1B
FGF11,FGF11,3,0.16607491315388,0.13672411672502782,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActLow,FGF11 - FGFR1
F8,F8,4,0.162794062787467,0.08793618668943075,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow,F8 - LDLR
CNTN4,CNTN4,3,0.1596678420509,0.07076160019931674,Astrocyte,Astro_Homeostatic,CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CNTN4 - PTPRG
LGI1,LGI1,3,0.14417058786752013,0.0892868492435904,Astrocyte,Astro_Intermediate;Astro_Reactive,Cerebrovascular_Pericyte;Cerebrovascular_Venous,LGI1 - ADAM22;LGI1 - ADAM23
EFNA1,EFNA1,1,0.143230458520713,0.143230458520713,Astrocyte,Astro_Intermediate,CapEC_ActHigh,EFNA1 - EPHA2
VEGFC,VEGFC,5,0.14026656779889052,0.05529954269724889,Astrocyte,Astro_Homeostatic,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,VEGFC - FLT1;VEGFC - FLT4/KDR;VEGFC - ITGB1;VEGFC - NRP2
ITGB2,ITGB2,5,0.12759462422415907,0.060087874506329415,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGB2 - THY1
CNTN3,CNTN3,1,0.125100244290914,0.125100244290914,Astrocyte,Astro_Reactive,Cerebrovascular_Venous,CNTN3 - PTPRG
FGL1,FGL1,3,0.11659133763948004,0.06601152838712439,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActLow;CapEC_ActMid,FGL1 - EGFR
LGALS1,LGALS1,5,0.111395591953447,0.04849753279598003,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,LGALS1 - ITGB1
RSPO2,RSPO2,1,0.0985719167564893,0.0985719167564893,Astrocyte,Astro_Reactive,Cerebrovascular_Venous,RSPO2 - ZNRF3
COL5A2,COL5A2,7,0.09509043702713692,0.05845213366340954,Astrocyte,Astro_Homeostatic;Astro_Reactive,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL5A2 - ITGA1/ITGB1;COL5A2 - ITGA10/ITGB1;COL5A2 - ITGA2/ITGB1
NRXN1,NRXN1,4,0.093931249509567,0.05679152580193428,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,Cerebrovascular_Venous,NRXN1 - NLGN1;NRXN1 - NLGN2
ARF1,ARF1,3,0.09372537213164105,0.056177656879996846,Astrocyte;Microglia,Astro_Intermediate;Micro_DAM;Micro_Homeostatic,Cerebrovascular_Pericyte,ARF1 - INSR
HLA-DQA1,HLA-DQA1,1,0.08067563059705496,0.08067563059705496,Microglia,Micro_DAM,Cerebrovascular_Venous,HLA-DQA1 - CD4
HLA-A,HLA-A,3,0.0771106242199461,0.06346834323887313,Microglia,Micro_DAM,CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,HLA-A - APLP2
TIMP2,TIMP2,4,0.07668432427801808,0.04529731319684965,Astrocyte;Microglia,Astro_Intermediate;Astro_Reactive;Micro_DAM,CapEC_ActMid;Cerebrovascular_Venous,TIMP2 - ITGB1
ENTPD1,ENTPD1,1,0.07389230642625,0.07389230642625,Microglia,Micro_DAM,Cerebrovascular_Pericyte,ENTPD1 - ADORA2B
JAG1,JAG1,2,0.07309581312389102,0.05347606366525853,Astrocyte,Astro_Homeostatic,CapEC_ActHigh;CapEC_ActMid,JAG1 - NOTCH4
LGI4,LGI4,2,0.06567373073969301,0.04108937913944652,Astrocyte,Astro_Intermediate;Astro_Reactive,Cerebrovascular_Venous,LGI4 - ADAM22
NTN1,NTN1,1,0.06376972699118902,0.06376972699118902,Astrocyte,Astro_Intermediate,Cerebrovascular_Pericyte,NTN1 - MCAM
FBLN1,FBLN1,1,0.06365172604674602,0.06365172604674602,Astrocyte,Astro_Reactive,Cerebrovascular_Venous,FBLN1 - ITGB1
THBS4,THBS4,2,0.06140664836992593,0.03332632087737447,Astrocyte,Astro_Homeostatic;Astro_Reactive,Cerebrovascular_Venous,THBS4 - ITGA3/ITGB1
FAM3C,FAM3C,3,0.0591047864435775,0.03374468018023167,Astrocyte;Microglia,Astro_Intermediate;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh,FAM3C - LAMP1
JAM3,JAM3,4,0.05334521039484902,0.03588578131409415,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActMid,JAM3 - ITGB1
IL16,IL16,1,0.0407868965686825,0.0407868965686825,Microglia,Micro_Homeostatic,CapEC_ActLow,IL16 - CD9
LAMA3,LAMA3,4,0.03096694350277995,0.0181875042080742,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActMid;Cerebrovascular_Venous,LAMA3 - ITGA3/ITGB1;LAMA3 - ITGA6/ITGB1;LAMA3 - ITGA9/ITGB1;LAMA3 - SDC2
KITLG,KITLG,1,0.0157991928730459,0.0157991928730459,Astrocyte,Astro_Reactive,Cerebrovascular_Venous,KITLG - KIT
GNAS,GNAS,1,0.0116848329330573,0.0116848329330573,Microglia,Micro_DAM,Cerebrovascular_Venous,GNAS - ADCY9
HLA-DRB5,HLA-DRB5,1,0.00829677250442195,0.00829677250442195,Microglia,Micro_DAM,Cerebrovascular_Venous,HLA-DRB5 - CD4
