ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,source_cellstates,target_cellstates,lr_pair_examples
CALCB,CALCB,20,1.19809254171035,0.33119535567789815,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CALCB - CALCRL;CALCB - PTH1R;CALCB - RAMP2;CALCB - RAMP3
MFGE8,MFGE8,9,1.17171888891271,0.27129760734175246,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,MFGE8 - ITGAV;MFGE8 - ITGB5;MFGE8 - PDGFRB
SEMA3A,SEMA3A,20,1.15959610009948,0.3828515643876939,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SEMA3A - NRP1/PLXNA1;SEMA3A - NRP1/PLXNA2;SEMA3A - NRP1/PLXNA3;SEMA3A - NRP2
SERPINE2,SERPINE2,2,1.15411757260823,0.9225372492291449,Astrocyte,Astro_Intermediate,Cerebrovascular_Pericyte;Cerebrovascular_Venous,SERPINE2 - LRP1
SEMA3D,SEMA3D,48,1.11706610982027,0.46198874977849913,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SEMA3D - NRP1/PLXNA1;SEMA3D - NRP1/PLXNA2;SEMA3D - NRP1/PLXNA3;SEMA3D - NRP2/PLXNA1;SEMA3D - NRP2/PLXNA2
ANOS1,ANOS1,20,1.113820472040857,0.33981280056116636,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ANOS1 - FGFR1;ANOS1 - SDC2
VEGFA,VEGFA,32,1.09026090801952,0.5159945373076534,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,VEGFA - EGFR;VEGFA - FLT1/KDR;VEGFA - ITGAV;VEGFA - ITGB1;VEGFA - NRP1
ADAM17,ADAM17,50,1.079612716113008,0.23390718024202742,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADAM17 - IL6R;ADAM17 - ITGA5;ADAM17 - ITGB1;ADAM17 - NOTCH1;ADAM17 - RHBDF2
NRG2,NRG2,5,1.0626706194131,0.82359236982771,Astrocyte,Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NRG2 - NRP2
WNT2B,WNT2B,26,1.0599305635922331,0.2441421613835732,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,WNT2B - FZD1/LRP5;WNT2B - FZD1/LRP6;WNT2B - FZD3/LRP5;WNT2B - FZD3/LRP6;WNT2B - FZD4/LRP5
CD14,CD14,11,1.05720230822088,0.35125503896996446,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD14 - ITGB1;CD14 - RIPK1
ADAM12,ADAM12,10,1.05115714425366,0.43374720517345783,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADAM12 - ITGA9;ADAM12 - ITGB1;ADAM12 - SDC4
EFNB2,EFNB2,32,1.0327128925199205,0.23835495619742703,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EFNB2 - EPHA3;EFNB2 - EPHA4;EFNB2 - EPHB4;EFNB2 - PECAM1
LTBP1,LTBP1,5,1.0317568617842101,0.31881537846041164,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LTBP1 - ITGB5
AGT,AGT,1,1.0120423352387895,1.0120423352387895,Astrocyte,Astro_Intermediate,Cerebrovascular_Pericyte,AGT - ENPEP
CALM1,CALM1,14,1.00495491393502,0.20974877492684332,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,CALM1 - CACNA1C;CALM1 - INSR;CALM1 - TRPC3
COL5A1,COL5A1,15,0.99618879724783,0.39088297108977804,Astrocyte,Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL5A1 - ITGA1/ITGB1;COL5A1 - ITGA10/ITGB1;COL5A1 - ITGA11/ITGB1;COL5A1 - ITGA2/ITGB1
ADAM23,ADAM23,9,0.9802360520451104,0.6619629402358291,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADAM23 - ITGA5
VEGFD,VEGFD,32,0.958486547301185,0.3882960683682013,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,VEGFD - FLT1;VEGFD - FLT4/KDR;VEGFD - ITGA1;VEGFD - ITGA2;VEGFD - ITGA4
LAMA5,LAMA5,49,0.9196101672510502,0.26806001401524415,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LAMA5 - BCAM;LAMA5 - CD44;LAMA5 - DAG1;LAMA5 - ITGA2/ITGB1;LAMA5 - ITGA3/ITGB1
MFNG,MFNG,6,0.916177118103127,0.6945533787272125,Microglia,Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,MFNG - NOTCH1;MFNG - NOTCH2
CALR,CALR,22,0.908971921073852,0.23994091683155236,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CALR - ITGA3;CALR - ITGAV;CALR - LRP1;CALR - SCARF1
ALCAM,ALCAM,6,0.9044255112958696,0.4985602167763875,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid,ALCAM - NRP1
EGF,EGF,26,0.874907023146111,0.3078184550796899,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EGF - AXL;EGF - CAV1;EGF - EGFR/ERBB2;EGF - LDLR;EGF - NRP1
COL18A1,COL18A1,17,0.8737483430052639,0.3097700336483204,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL18A1 - ITGA1/ITGB1;COL18A1 - ITGA10/ITGB1;COL18A1 - ITGA5;COL18A1 - KDR
PTN,PTN,27,0.869111420851921,0.3728860380613745,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PTN - NCL;PTN - PLXNB2;PTN - PTPRB;PTN - PTPRZ1;PTN - SDC2
C3,C3,26,0.837156617672926,0.2689899529147105,Astrocyte;Microglia,Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,C3 - CD46;C3 - CD81;C3 - GRM7;C3 - LRP1;C3 - NRP1
MEGF10,MEGF10,9,0.8293778334040798,0.2169088820892546,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,MEGF10 - ABCA1
COL4A5,COL4A5,14,0.8245301162397098,0.2794074969988923,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL4A5 - CD93;COL4A5 - ITGA1/ITGB1;COL4A5 - ITGA10/ITGB1;COL4A5 - ITGA11/ITGB1;COL4A5 - ITGA2/ITGB1
BCAN,BCAN,4,0.8081961251573202,0.6318771724284176,Astrocyte,Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,BCAN - EGFR
GRN,GRN,23,0.804532797437439,0.22200452702212253,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,GRN - EGFR;GRN - NTRK1;GRN - TNFRSF1A;GRN - TNFRSF1B
COL4A1,COL4A1,4,0.802653676589387,0.7142947058051048,Astrocyte,Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,COL4A1 - ITGA1/ITGB1
SERPINE1,SERPINE1,5,0.764747245755548,0.3255590847857495,Microglia,Micro_Homeostatic,CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SERPINE1 - ITGB5;SERPINE1 - LRP1;SERPINE1 - PLAUR
TGFB3,TGFB3,32,0.762079713767831,0.26762160926054535,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,TGFB3 - ACVR1/TGFBR1/TGFBR2;TGFB3 - ACVR1/TGFBR2;TGFB3 - ACVR1B/TGFBR2;TGFB3 - ACVR1C/TGFBR2;TGFB3 - ACVRL1
BMP1,BMP1,15,0.7508256660264031,0.2202895804000813,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,BMP1 - BMPR1A;BMP1 - BMPR2
ADAM10,ADAM10,27,0.734774730081926,0.2012116334393487,Astrocyte;Microglia,Astro_Homeostatic;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADAM10 - AXL;ADAM10 - EPHA3;ADAM10 - IL6R;ADAM10 - NOTCH1;ADAM10 - NOTCH2
GAS6,GAS6,9,0.7337288572251771,0.31900427012794647,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,GAS6 - AXL;GAS6 - MERTK;GAS6 - TYRO3
PTDSS1,PTDSS1,7,0.73133177496483,0.26214130743758884,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Venous,PTDSS1 - SCARB1
C1QB,C1QB,5,0.7266538484804499,0.369540036356026,Microglia,Micro_DAM,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,C1QB - C1QBP;C1QB - LRP1
HMGB1,HMGB1,9,0.715672756328048,0.3035943734369795,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,HMGB1 - HAVCR2;HMGB1 - THBD
ADAM9,ADAM9,36,0.6938477716035798,0.1859228214602593,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADAM9 - ITGA3;ADAM9 - ITGA6;ADAM9 - ITGAV;ADAM9 - ITGB1;ADAM9 - ITGB5
COL6A1,COL6A1,40,0.681504595077832,0.243043977849004,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL6A1 - CD44;COL6A1 - ITGA1/ITGB1;COL6A1 - ITGA10/ITGB1;COL6A1 - ITGA11/ITGB1;COL6A1 - ITGA2/ITGB1
CNTN1,CNTN1,7,0.6751661807428202,0.2570405610094915,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CNTN1 - NOTCH1;CNTN1 - NOTCH2
PDGFB,PDGFB,9,0.668460917522561,0.3469469270210793,Microglia,Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PDGFB - ITGAV;PDGFB - PDGFRA/PDGFRB;PDGFB - S1PR1
NECTIN3,NECTIN3,14,0.6671408416362281,0.2445057116820711,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NECTIN3 - NECTIN2;NECTIN3 - PVR
IGSF11,IGSF11,3,0.66506963517477,0.43990717191456674,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,IGSF11 - VSIR
LGALS9,LGALS9,16,0.66468234800319,0.21306220287533897,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LGALS9 - CD44;LGALS9 - CD47;LGALS9 - COLEC12;LGALS9 - HAVCR2;LGALS9 - LRP1
COL28A1,COL28A1,25,0.65965983656154,0.22293173917585113,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL28A1 - ITGA1/ITGB1;COL28A1 - ITGA10/ITGB1;COL28A1 - ITGA11/ITGB1;COL28A1 - ITGA2/ITGB1
NAMPT,NAMPT,14,0.657356133931794,0.27467837077608875,Astrocyte;Microglia,Astro_Intermediate;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NAMPT - INSR;NAMPT - ITGA5/ITGB1
CX3CL1,CX3CL1,6,0.649983480122617,0.30840665084084323,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,CX3CL1 - ITGAV
ICAM1,ICAM1,5,0.6449973342052531,0.293228661652844,Astrocyte,Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,ICAM1 - CAV1;ICAM1 - EGFR
LGALS3,LGALS3,4,0.6234846563785403,0.3640297648125727,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,LGALS3 - ENG;LGALS3 - MCAM
VCAN,VCAN,18,0.620165005705066,0.254144198341703,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,VCAN - CD44;VCAN - EGFR;VCAN - ITGB1
SEMA4B,SEMA4B,6,0.618963950919882,0.3512611662932785,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActLow;CapEC_ActMid,SEMA4B - DCBLD2
CLEC11A,CLEC11A,11,0.6123437620653871,0.195680104645064,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CLEC11A - ITGA10;CLEC11A - ITGA11;CLEC11A - ITGB1
SELPLG,SELPLG,5,0.6121493832200602,0.306656996223442,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,SELPLG - ESAM
PSAP,PSAP,6,0.600709821598143,0.32504371635205365,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,Cerebrovascular_Pericyte;Cerebrovascular_Venous,PSAP - AR;PSAP - LRP1
SEMA4A,SEMA4A,5,0.595333836112131,0.23911699673260858,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;Cerebrovascular_Pericyte,SEMA4A - NRP1/PLXNA2;SEMA4A - NRP1/PLXNA3;SEMA4A - PLXND1
PSEN1,PSEN1,10,0.5909463463328302,0.16535985524449565,Astrocyte;Microglia,Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PSEN1 - NOTCH1;PSEN1 - NOTCH2;PSEN1 - NOTCH3
GDF11,GDF11,7,0.586837112987635,0.25927167328222944,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,GDF11 - ACTR2;GDF11 - BMPR1A;GDF11 - BMPR2
COL4A2,COL4A2,9,0.585353550329425,0.18810928066990515,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL4A2 - CD93;COL4A2 - ITGA1/ITGB1;COL4A2 - ITGAV/ITGB8
TNFSF13B,TNFSF13B,16,0.558190096204505,0.252329443944637,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,TNFSF13B - CD40;TNFSF13B - HLA-DPB1;TNFSF13B - TFRC
FBN1,FBN1,11,0.5526142282883328,0.29876112100562585,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Venous,FBN1 - ITGA5;FBN1 - ITGB1
COL11A1,COL11A1,27,0.536562460174393,0.18119840376573415,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL11A1 - ITGA1/ITGB1;COL11A1 - ITGA10/ITGB1;COL11A1 - ITGA11/ITGB1;COL11A1 - ITGA2/ITGB1
DLL1,DLL1,7,0.533207353446624,0.30251228187585794,Astrocyte,Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,DLL1 - NOTCH1;DLL1 - NOTCH3;DLL1 - NOTCH4
TF,TF,8,0.5247579838098949,0.26307999034999136,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActMid,TF - TFRC
LAMA2,LAMA2,20,0.521785963457463,0.205843557453277,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LAMA2 - DAG1;LAMA2 - ITGA1;LAMA2 - ITGA2/ITGB1;LAMA2 - ITGA3/ITGB1;LAMA2 - ITGA6/ITGB1
FGF1,FGF1,9,0.5213211611721902,0.207519724733655,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,FGF1 - EGFR;FGF1 - FGFR1;FGF1 - NRP1;FGF1 - TGFBR3
ANXA1,ANXA1,5,0.500272461680274,0.32614350217916566,Astrocyte,Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ANXA1 - EGFR
JAM2,JAM2,24,0.4955582572260221,0.19491495995295893,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,JAM2 - ITGA3/ITGB1;JAM2 - ITGA4/ITGB1;JAM2 - ITGAV/ITGB1
LTBP3,LTBP3,3,0.48842326355679,0.20810065350647866,Astrocyte,Astro_Intermediate;Astro_Reactive,Cerebrovascular_Pericyte;Cerebrovascular_Venous,LTBP3 - ITGB5
FN1,FN1,19,0.469422985166098,0.10446994800490325,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,FN1 - ITGA2;FN1 - ITGA5/ITGB1;FN1 - ITGA6;FN1 - ITGAV/ITGB1;FN1 - NT5E
ST6GAL1,ST6GAL1,14,0.46650381821337095,0.27825287978250407,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ST6GAL1 - EGFR
LAMA4,LAMA4,12,0.4652857181848209,0.1680059290244277,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,LAMA4 - DAG1;LAMA4 - ITGA2/ITGB1;LAMA4 - ITGA6/ITGB1;LAMA4 - ITGA9/ITGB1;LAMA4 - ITGAV/ITGB8
LAMC1,LAMC1,26,0.4526683572922199,0.20067501499454718,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LAMC1 - DAG1;LAMC1 - ITGA1;LAMC1 - ITGA2/ITGB1;LAMC1 - ITGA3/ITGB1;LAMC1 - ITGA6/ITGB1
AGRN,AGRN,21,0.45222606022049405,0.26838396234614925,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,AGRN - DAG1;AGRN - ITGB1;AGRN - LRP1
PLTP,PLTP,14,0.4497864143822399,0.1998381209488202,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PLTP - ABCA1
NDP,NDP,4,0.4440689689363031,0.22291976810211653,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,NDP - FZD4
HLA-B,HLA-B,5,0.44227666546762295,0.3142248672800774,Microglia,Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,HLA-B - CANX
COPA,COPA,13,0.432519626465886,0.19862809116778396,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Venous,COPA - CD74;COPA - NTRK1
HLA-C,HLA-C,4,0.3958496424649,0.32217212232912024,Astrocyte;Microglia,Astro_Intermediate;Micro_DAM,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,HLA-C - NOTCH4
F13A1,F13A1,5,0.3928647282000099,0.24206109057953806,Microglia,Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,F13A1 - ITGB1
COL19A1,COL19A1,21,0.38906287730054,0.08693168206816043,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL19A1 - ITGA1/ITGB1;COL19A1 - ITGA10/ITGB1;COL19A1 - ITGA11/ITGB1;COL19A1 - ITGA2/ITGB1
GSTP1,GSTP1,17,0.381074211953372,0.1739922804711347,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,GSTP1 - EGFR
COL24A1,COL24A1,10,0.376771703734732,0.15154036773420787,Astrocyte,Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL24A1 - ITGA1/ITGB1;COL24A1 - ITGA10/ITGB1;COL24A1 - ITGA11/ITGB1;COL24A1 - ITGA2/ITGB1
LAMB2,LAMB2,37,0.3702385993242391,0.11864713224998122,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LAMB2 - DAG1;LAMB2 - ITGA2/ITGB1;LAMB2 - ITGA3/ITGB1;LAMB2 - ITGA6/ITGB1;LAMB2 - ITGA9/ITGB1
PROS1,PROS1,9,0.36255846688303706,0.13248707993725867,Astrocyte;Microglia,Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PROS1 - AXL;PROS1 - MERTK
TNFSF10,TNFSF10,5,0.35682928456193397,0.2272894915905188,Microglia,Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,TNFSF10 - TNFRSF10A;TNFSF10 - TNFRSF10B;TNFSF10 - TNFRSF10D
