receiver_context,target_clean,max_regulatory_potential,sum_regulatory_potential,n_supporting_glial_ligands,best_ligand,supporting_ligands_top5,celltype,logFC,PValue,FDR,direction,rank_in_vascular_receiver
Cerebrovascular cells,ATP6V1F,0.007292789983554253,0.06508662331671242,20,JAM2,JAM2:0.0073;IL1B:0.0046;IGF1:0.0043;FGF2:0.0037;IL18:0.0036,Cerebrovascular cells,0.392519964361404,0.0295056922684446,0.908262525040509,AD-enriched_nominal,104
Cerebrovascular cells,RPL24,0.0072369692064927285,0.09601068195984315,20,JAM2,JAM2:0.0072;IL18:0.0071;IL1B:0.0071;IGF1:0.0061;FGF2:0.0061,Cerebrovascular cells,0.379480756953601,0.0352536185170558,0.908262525040509,AD-enriched_nominal,105
Cerebrovascular cells,PRX,0.007183372851375546,0.0763055766666012,20,JAM2,JAM2:0.0072;IL18:0.0055;IL1B:0.0055;IGF1:0.0046;FGF2:0.0042,Cerebrovascular cells,0.551388865489536,0.0494341717409058,0.908262525040509,AD-enriched_nominal,106
Cerebrovascular cells,PITPNA,0.007087412711549124,0.08826698629678505,20,IL1B,IL1B:0.0071;IL18:0.0064;IGF1:0.006;JAM2:0.0056;HGF:0.0054,Cerebrovascular cells,0.259644669606407,0.0338791781636156,0.908262525040509,AD-enriched_nominal,107
Cerebrovascular cells,FNBP4,0.007075496410573587,0.09479158519459124,20,IL1B,IL1B:0.0071;IGF1:0.0069;IL18:0.0063;ANGPT1:0.0059;TNFSF10:0.0057,Cerebrovascular cells,0.243688694733495,0.0375988938201946,0.908262525040509,AD-enriched_nominal,108
Cerebrovascular cells,PRKX,0.006845782243384587,0.08061277227716726,20,JAM2,JAM2:0.0068;IL1B:0.006;IGF1:0.0052;ANGPT1:0.005;IL18:0.0049,Cerebrovascular cells,0.384058836411514,0.0382129673725251,0.908262525040509,AD-enriched_nominal,109
Cerebrovascular cells,ZZEF1,0.006825304500972247,0.08879885099601573,20,IL1B,IL1B:0.0068;IGF1:0.0065;IL18:0.006;VEGFA:0.0054;HGF:0.0052,Cerebrovascular cells,0.365234518403306,0.00687777178561488,0.908262525040509,AD-enriched_nominal,110
Cerebrovascular cells,USP34,0.006825232827113357,0.09836740921740335,20,IL18,IL18:0.0068;IL1B:0.0065;HGF:0.0064;IGF1:0.0061;FGF2:0.0058,Cerebrovascular cells,0.193667966255307,0.0470469390586722,0.908262525040509,AD-enriched_nominal,111
Cerebrovascular cells,SNRPB2,0.006663566931867424,0.07270975818016745,20,JAM2,JAM2:0.0067;IL1B:0.005;IGF1:0.0048;FGF2:0.0044;IL18:0.0043,Cerebrovascular cells,0.478234620705931,0.0120281149769584,0.908262525040509,AD-enriched_nominal,112
Cerebrovascular cells,SNU13,0.006584914138743771,0.07378664869340743,20,JAM2,JAM2:0.0066;IL18:0.0061;IL1B:0.0051;FGF2:0.0046;IGF1:0.0044,Cerebrovascular cells,0.357831532878863,0.0470169967494018,0.908262525040509,AD-enriched_nominal,113
