trajectory,trajectory_label,state,n_cells,mean_pseudotime,median_pseudotime,q25_pseudotime,q75_pseudotime
astro,Astrocytes,Homeostatic,19514,0.3010607678538254,0.2946715735453583,0.1817560166181764,0.4067950157307441
astro,Astrocytes,Intermediate,8436,0.587826562706192,0.6142397833037336,0.4890373096986307,0.702020500136177
astro,Astrocytes,Reactive,3751,0.8214683344989203,0.9227364543348034,0.7329822493285958,0.9849870595962776
endo,Capillaries,CapEC_ActHigh,272,0.7240962341481576,0.7838540640627347,0.6186248811383654,0.8942188310221942
endo,Capillaries,CapEC_ActLow,272,0.6153673658063203,0.631374617613158,0.5407531007833836,0.7126491929509998
endo,Capillaries,CapEC_ActMid,280,0.6520502611064469,0.6818875561532256,0.5632093014443442,0.7690584270607677
micro,Microglia,DAM,18176,0.5805999285826432,0.5715854626805122,0.4523919541747374,0.7029469252568881
micro,Microglia,Homeostatic,5947,0.4150003345179733,0.4142430028442249,0.3592768468697792,0.4690809588118516
