source,category,drug_id,drug_name,n_targets_total,n_GEM_network_targets,GEM_network_targets,target_weight_sum,target_weight_mean,drug_priority_score
drug2cell_ChEMBL,C,CHEMBL1294,QUINIDINE,6,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,C,CHEMBL1428,NIMODIPINE,8,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,C,CHEMBL1237132,CLEVIDIPINE,4,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL490,PAROXETINE,9,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL41,FLUOXETINE,4,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL71,CHLORPROMAZINE,27,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL1108,DROPERIDOL,10,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL43064,CINNARIZINE,8,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL1059,PREGABALIN,26,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL479,THIORIDAZINE,16,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL12713,SERTINDOLE,23,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL54,HALOPERIDOL,25,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL940,GABAPENTIN,26,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL1628502,GABAPENTIN ENACARBIL,26,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL11,IMIPRAMINE,20,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL742,KETAMINE,1,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL42,CLOZAPINE,16,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL1175,DULOXETINE,9,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,N,CHEMBL1423,PIMOZIDE,38,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,L,CHEMBL255863,NILOTINIB,5,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,No-category,CHEMBL1201729,DRONEDARONE HYDROCHLORIDE,16,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,No-category,CHEMBL539770,TERODILINE HYDROCHLORIDE,31,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,No-category,CHEMBL1200805,DILTIAZEM MALATE,4,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,No-category,CHEMBL1200382,BEPRIDIL HYDROCHLORIDE,26,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,No-category,CHEMBL2106419,LERCANIDIPINE HYDROCHLORIDE,5,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,No-category,CHEMBL1200402,AMLODIPINE BESYLATE,5,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,No-category,CHEMBL1280,VERAPAMIL HYDROCHLORIDE,7,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,No-category,CHEMBL1200326,NICARDIPINE HYDROCHLORIDE,8,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,No-category,CHEMBL1697,DILTIAZEM HYDROCHLORIDE,6,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,No-category,CHEMBL4594262,AMLODIPINE BENZOATE,4,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,No-category,CHEMBL1200984,AMLODIPINE MALEATE,4,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,No-category,CHEMBL4594288,LEVAMLODIPINE MALEATE,4,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,R,CHEMBL17157,TERFENADINE,14,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,R,CHEMBL296419,ASTEMIZOLE,12,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,J,CHEMBL114,SAQUINAVIR,6,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,J,CHEMBL491571,DORIPENEM,1,1,CACNA1C,0.0,0.0,0.0
drug2cell_ChEMBL,P,CHEMBL1107,HALOFANTRINE,5,1,CACNA1C,0.0,0.0,0.0
