"gene","coefficient","external_weight"
"PLCE1",1.26257961337026,0.0471670778652817
"PDGFRB",0.98885252104777,0.332808664094814
"GPC5",-0.90715696284439,0.165605651052589
"RHBDF2",0.0251115056342823,1
