sample_id,group,CellType,n_spots,spearman_rho,p_value,FDR,CellType_label
2-3,AD,Micro_DAM,4337,0.60726217885565,0.0,0.0,DAM-like microglia
2-3,AD,Micro_Homeostatic,4337,0.161537521267992,9.58993691836001e-27,1.678238960713e-26,Homeostatic microglia
2-3,AD,Oligodendrocytes,4337,0.841158140584566,0.0,0.0,Oligodendrocytes
2-3,AD,OPCs,4337,0.158661932572309,7.56882374661734e-26,1.29751264227726e-25,OPCs
2-3,AD,Inhibitory,4337,0.333913553883606,1.8872009948642e-113,5.28416278561976e-113,Inhibitory
2-3,AD,Excitatory,4337,0.503419800288864,1.81841692564725e-277,9.54668885964806e-277,Excitatory
2-8,AD,Endo_Capillary,3443,0.393412141862076,7.86322906319153e-128,2.4463379307707e-127,Capillary EC
2-8,AD,Endo_Pericyte,3443,0.230329045934003,1.09275216485554e-42,2.1855043297110897e-42,Pericytes
2-8,AD,Endo_Venous,3443,0.0401103023235071,0.0185902044036036,0.0226315531869957,Venous EC
2-8,AD,Endo_SMC,3443,-0.0351389268406708,0.0392327162337127,0.0457715022726649,Vascular SMC
2-8,AD,Endo_Arterial,3443,0.0427130738723922,0.0121928799356534,0.0150617928616894,Arterial EC
2-8,AD,Astro_Reactive,3443,0.0091317228812478,0.592207753485087,0.621818141159341,Reactive astrocytes
2-8,AD,Astro_Homeostatic,3443,0.498685144059687,6.100288851441769e-216,2.69696980800583e-215,Homeostatic astrocytes
2-8,AD,Astro_Intermediate,3443,0.219356742580441,8.76373728091354e-39,1.60033463390595e-38,Intermediate astrocytes
2-8,AD,Micro_DAM,3443,0.420566689924465,1.16633929546301e-147,3.91890003275572e-147,DAM-like microglia
2-8,AD,Micro_Homeostatic,3443,0.246321457333797,9.34210025074195e-49,2.01214466939057e-48,Homeostatic microglia
2-8,AD,Oligodendrocytes,3443,0.93559754060063,0.0,0.0,Oligodendrocytes
2-8,AD,OPCs,3443,0.0968367974676662,1.24518244871782e-08,1.63430196394214e-08,OPCs
2-8,AD,Inhibitory,3443,0.323995733924923,5.69947088301135e-85,1.45077440658471e-84,Inhibitory
2-8,AD,Excitatory,3443,0.579663215040021,2.51012804493967e-308,1.7570896314577699e-307,Excitatory
T4857,AD,Endo_Capillary,4795,0.363547425941447,9.18419795546272e-150,3.2144692844119507e-149,Capillary EC
T4857,AD,Endo_Pericyte,4795,0.0847213921320331,4.21191086137555e-09,5.7064598767023606e-09,Pericytes
T4857,AD,Endo_Venous,4795,-0.0039724469811517,0.783312253480468,0.792749750510353,Venous EC
