"Group","subtype","n","prop"
"AD","Homeostatic",7441,0.515661815661816
"AD","Intermediate",5602,0.388218988218988
"AD","Reactive",1387,0.0961191961191961
"CN","Homeostatic",10219,0.591685484337907
"CN","Intermediate",5852,0.338833883388339
"CN","Reactive",1200,0.0694806322737537
