"gene","full_train_effect_AD_vs_CN","external_weight","rank_weighted_effect","selected_full"
"RHBDF2",0.83065130972596,1,1.24597696458894,TRUE
"PDGFRB",1.03725016795351,0.332808664094814,0.863830926705481,TRUE
"PTH1R",0.90074977666337,0.243558491633767,0.669760145275268,TRUE
"PLCE1",1.11480376517355,0.0471670778652817,0.609983918583224,TRUE
"SLC6A12",0.952392554040934,0.125322232371552,0.595552237986921,TRUE
"GRM8",-0.818621719438686,0.152280803947458,0.533971233284316,TRUE
"DGKB",-0.795432007816726,0.168840425190836,0.53201708231854,TRUE
"CPM",0.746597130137104,0.087648318339632,0.438736548002265,TRUE
"GPC5",-0.642120060480907,0.165605651052589,0.427398740910322,TRUE
"CACNA1C",-0.767150031152715,0,0.383575015576357,TRUE
"GJC1",0.691039841909843,0.0487167023192673,0.379185103223997,TRUE
"INPP4B",-0.558425493264006,0.0895269699455278,0.329206888984266,TRUE
"SLC38A11",0.359507636372402,0.370356908828453,0.312899955093307,FALSE
"CNTN4",-0.520105720432773,0.0875602513262279,0.305593447813689,FALSE
"GRM3",-0.488125701689859,0.0427287329472041,0.264919843597102,FALSE
"RNF152",0.258179781030922,0.153369171312593,0.16868670958184,FALSE
"COL4A3",0.0552439508946374,0.0304066367864431,0.02930175819682,FALSE
"PDE7B",-0.0524358332401099,0.0479317319204423,0.0287312569219449,FALSE
