trajectory,trajectory_label,n_CN_samples,n_AD_samples,median_CN,median_AD,delta_AD_minus_CN,mannwhitney_u,p_value,q_BH
micro,Microglia,33,33,0.4688366204662981,0.5521093916864892,0.08327277122019111,721.0,0.024001453892338206,0.07200436167701463
astro,Astrocytes,33,33,0.3316284608113148,0.4177925247642872,0.08616406395297238,689.0,0.06478728680177062,0.09718093020265593
vascular,Cerebrovascular,31,33,0.383066285622907,0.3130799486678904,-0.0699863369550166,443.0,0.3609835160450068,0.3609835160450068
