ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Description_clean
GO_Biological_Process_2023::Regulation Of Adenylate Cyclase Activity (GO:0045761),GO_Biological_Process_2023::Regulation Of Adenylate Cyclase Activity (GO:0045761),2/49,5/1677,0.4,13.689795918367349,4.928665566278079,0.007908157732615965,0.1924318381603218,0.17804916532497933,GRM3/CACNA1C,2,Regulation of Adenylate Cyclase Activity
GO_Biological_Process_2023::Regulation Of Striated Muscle Contraction (GO:0006942),GO_Biological_Process_2023::Regulation Of Striated Muscle Contraction (GO:0006942),2/49,5/1677,0.4,13.689795918367349,4.928665566278079,0.007908157732615965,0.1924318381603218,0.17804916532497933,ATP1A2/DMD,2,Regulation of Striated Muscle Contraction
GO_Biological_Process_2023::Embryonic Limb Morphogenesis (GO:0030326),GO_Biological_Process_2023::Embryonic Limb Morphogenesis (GO:0030326),2/49,6/1677,0.3333333333333333,11.408163265306122,4.429649291501124,0.011641635984253888,0.2216972417870958,0.20512722443651016,CACNA1C/TBX2,2,Embryonic Limb Morphogenesis
GO_Biological_Process_2023::Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173),GO_Biological_Process_2023::Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173),2/49,6/1677,0.3333333333333333,11.408163265306122,4.429649291501124,0.011641635984253888,0.2216972417870958,0.20512722443651016,PLCE1/SLC30A10,2,Epidermal Growth Factor Receptor Signaling Pathway
GO_Biological_Process_2023::Glutamate Receptor Signaling Pathway (GO:0007215),GO_Biological_Process_2023::Glutamate Receptor Signaling Pathway (GO:0007215),2/49,6/1677,0.3333333333333333,11.408163265306122,4.429649291501124,0.011641635984253888,0.2216972417870958,0.20512722443651016,GRM8/GRM3,2,Glutamate Receptor Signaling Pathway
GO_Biological_Process_2023::Inositol Lipid-Mediated Signaling (GO:0048017),GO_Biological_Process_2023::Inositol Lipid-Mediated Signaling (GO:0048017),2/49,6/1677,0.3333333333333333,11.408163265306122,4.429649291501124,0.011641635984253888,0.2216972417870958,0.20512722443651016,PDGFRB/PLCE1,2,Inositol Lipid-Mediated Signaling
GO_Biological_Process_2023::Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),GO_Biological_Process_2023::Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),2/49,6/1677,0.3333333333333333,11.408163265306122,4.429649291501124,0.011641635984253888,0.2216972417870958,0.20512722443651016,CACNA1C/ATP1A2,2,Membrane Depolarization During Cardiac Muscle Cell Action Potential
GO_Biological_Process_2023::Cell-Cell Junction Organization (GO:0045216),GO_Biological_Process_2023::Cell-Cell Junction Organization (GO:0045216),3/49,18/1677,0.16666666666666666,5.704081632653061,3.4801323145083094,0.014049888334552818,0.23864462738098105,0.22080793449093417,GJC1/CDH6/GJA4,3,Cell-Cell Junction Organization
GO_Biological_Process_2023::Sodium Ion Transmembrane Transport (GO:0035725),GO_Biological_Process_2023::Sodium Ion Transmembrane Transport (GO:0035725),3/49,18/1677,0.16666666666666666,5.704081632653061,3.4801323145083094,0.014049888334552818,0.23864462738098105,0.22080793449093417,SLC6A12/SLC6A1/ATP1A2,3,Sodium Ion Transmembrane Transport
GO_Biological_Process_2023::Cellular Response To Steroid Hormone Stimulus (GO:0071383),GO_Biological_Process_2023::Cellular Response To Steroid Hormone Stimulus (GO:0071383),2/49,7/1677,0.2857142857142857,9.778425655976676,4.036595825952913,0.01599579661668476,0.23864462738098105,0.22080793449093417,ATP1A2/GPER1,2,Cellular Response to Steroid Hormone Stimulus
