"UMAP_1","UMAP_2","subtype","group"
-7.4180325671533,2.53822367332696,"Capillary","CN"
-6.95403377259764,4.17075829647302,"Capillary","CN"
-9.73995200837645,2.34723262928246,"Capillary","CN"
-11.9760770007471,-0.687248538510809,"Pericyte","CN"
-9.05946342195067,4.02711420200585,"Capillary","CN"
-6.10699884141478,2.53940718315362,"Capillary","CN"
14.0306979015967,-8.38689155437232,"Venous","CN"
14.2489615276953,-6.9814016328025,"Venous","CN"
13.0529194668433,-6.142656515615,"Venous","CN"
14.4055767849585,-5.98270530559302,"Venous","CN"
-0.0243322059014712,-7.37037486888648,"Pericyte","CN"
-6.47249452317747,6.23377685688256,"Capillary","CN"
0.984162290444049,-8.50727767802955,"Pericyte","CN"
0.287134368767413,-7.947193335073,"Pericyte","CN"
-12.7455529376367,-0.822456072347174,"Pericyte","CN"
-11.4424647494653,0.835455049498072,"Pericyte","CN"
-9.01760188783201,4.36051063678979,"Capillary","CN"
-7.23030082429442,6.48770361088037,"Capillary","CN"
1.64044340406862,-5.91657609798194,"Pericyte","CN"
14.2143584087988,-8.21322555400611,"Venous","CN"
0.772675712456378,-8.35377235271216,"Pericyte","CN"
2.0621395901343,-7.77930469371558,"Pericyte","CN"
-10.2565049334863,2.14216857097863,"Capillary","CN"
1.14679618631807,-6.52889366008521,"Pericyte","CN"
1.14578576837984,-8.11972637035132,"Pericyte","CN"
2.33611067091432,-7.45813007213355,"Pericyte","CN"
14.764040072312,-7.15245504237891,"Venous","CN"
0.333922465195331,-7.05070085384131,"Pericyte","CN"
1.21523602758852,-6.94873161174537,"Pericyte","CN"
4.18362959181276,10.1029613509011,"SMC","CN"
-8.77929250443968,2.58630578659295,"Capillary","CN"
-7.41915361131224,4.71801071308373,"Capillary","CN"
-7.77004424775633,6.12086944721459,"Capillary","CN"
-6.0772499247888,-13.4682170853782,"Pericyte","CN"
-11.3869418307641,0.240455914957514,"Pericyte","CN"
-11.9288520022729,-1.83734078265906,"Pericyte","CN"
1.37801202093569,-5.76971883632422,"Pericyte","CN"
-12.5272339984277,-1.32528252460242,"Pericyte","CN"
1.25860913549868,-3.94616336681129,"Pericyte","CN"
-8.81823436463865,3.35277729175805,"Capillary","CN"
-4.572355668197,4.08113269947289,"Venous","CN"
12.7159567669531,-6.38443059779883,"Venous","CN"
2.4427479103705,-6.55357045985938,"Pericyte","CN"
-11.1692275210718,-0.335900615232,"Pericyte","CN"
-0.406083475003568,-7.335452269094,"Pericyte","CN"
-9.32665626252684,3.77182607792138,"Capillary","CN"
13.8851986721655,-7.63040561534644,"Venous","CN"
13.6588469341895,-7.03613061763526,"Venous","CN"
-7.85495559419188,3.24532966755151,"Capillary","CN"
13.4664841488501,-7.89607829906226,"Venous","CN"
14.6770153835913,-6.04927463390113,"Venous","CN"
-12.8703641101221,-0.33766538955451,"Pericyte","CN"
-4.90816585267576,3.56031088970422,"Venous","CN"
-7.28632823670897,8.21372585438012,"Capillary","CN"
-0.0437556310990725,-7.94296474315406,"Pericyte","CN"
13.5000267819068,-5.42875499583961,"Venous","CN"
-7.95168821061644,7.33580188892602,"Capillary","CN"
13.1097470120093,-7.42747993327857,"Venous","CN"
