rank,score,metric_display,hit,running_es
1,6.174030830797091e-5,2.5074266758469825,FALSE,-5.238344683080147e-4
2,7.636255114413903e-7,1.463889512536976,FALSE,-0.0010476689366160294
3,5.76080739532754e-7,1.3969362840565787,FALSE,-0.001571503404924044
4,5.621089502742207e-7,1.3911035256154054,FALSE,-0.0020953378732320588
5,5.594695856944895e-7,1.3899854136564334,FALSE,-0.0026191723415400735
6,5.258697358869026e-7,1.3752715951815682,TRUE,0.07523203805809839
7,4.96030252124798e-7,1.361393777252849,TRUE,0.14866572873745423
8,4.93666742419621e-7,1.3602591041494965,FALSE,0.14814189426914623
9,4.875430743921206e-7,1.3572937935556904,FALSE,0.1476180598008382
10,4.865207014365203e-7,1.3567950963719946,TRUE,0.21964393029029372
11,4.747644947648609e-7,1.3509840892544147,FALSE,0.21912009582198572
12,4.588275909257592e-7,1.3428725406069013,FALSE,0.2185962613536777
13,4.5695053498047923e-7,1.3418986675397764,FALSE,0.21807242688536968
14,4.568623535328763e-7,1.3418528180251552,FALSE,0.21754859241706168
15,4.391324406954233e-7,1.3324496844691727,FALSE,0.21702475794875364
16,4.38313874208554e-7,1.3320064348941083,TRUE,0.28191395638216493
17,4.3751502104130626e-7,1.331573061137404,FALSE,0.28139012191385693
18,4.350090361342804e-7,1.3302084244864767,TRUE,0.34579006297667036
19,4.3349538710410147e-7,1.3293803519366565,FALSE,0.34526622850836236
20,4.284760396556377e-7,1.326613575332456,FALSE,0.3447423940400543
21,4.139731735860142e-7,1.3184333020688153,FALSE,0.3442185595717463
22,4.114114447762021e-7,1.3169586384297451,FALSE,0.3436947251034383
23,3.972644092212562e-7,1.3086457859138922,TRUE,0.40250684718612756
24,3.8621165898479523e-7,1.3019424924892253,FALSE,0.40198301271781955
25,3.860442782763839e-7,1.30183951105199,FALSE,0.40145917824951155
26,3.813509357024343e-7,1.298933592885241,FALSE,0.40093534378120355
27,3.805228644032792e-7,1.2984171769196347,FALSE,0.40041150931289554
28,3.801772464315374e-7,1.298201304249307,FALSE,0.39988767484458754
29,3.786304356879178e-7,1.297232756896204,TRUE,0.4559411719387545
30,3.775501342607489e-7,1.2965539683155805,FALSE,0.4554173374704465
31,3.76683459274052e-7,1.296008002592205,FALSE,0.4548935030021385
32,3.738398302619498e-7,1.294207782363715,FALSE,0.4543696685338305
33,3.6927705395440114e-7,1.2912904070562574,FALSE,0.4538458340655225
34,3.6897330204610884e-7,1.2910949145246782,FALSE,0.4533219995972144
35,3.687303229751817e-7,1.2909384190580255,FALSE,0.4527981651289064
36,3.579773553321909e-7,1.283907451647637,FALSE,0.4522743306605984
37,3.5553588917374333e-7,1.282281658978574,FALSE,0.4517504961922904
38,3.445408671907267e-7,1.2748188736126387,FALSE,0.4512266617239824
39,3.360961120529621e-7,1.2689235370623473,FALSE,0.45070282725567434
40,3.337158681502131e-7,1.2672350988416274,FALSE,0.45017899278736634
41,3.330895501359587e-7,1.2667888154685414,FALSE,0.44965515831905833
42,3.3027455708387364e-7,1.264772572986945,FALSE,0.44913132385075033
43,3.256809116130722e-7,1.2614451729827374,FALSE,0.4486074893824423
44,3.240511796230174e-7,1.2602533889030487,FALSE,0.4480836549141343
45,3.211635423072476e-7,1.2581269345081412,FALSE,0.44755982044582626
46,3.1743395225126845e-7,1.255351994350065,FALSE,0.44703598597751826
47,3.1591965901815305e-7,1.2542159916746314,FALSE,0.44651215150921025
48,3.13104470329057e-7,1.2520895283368587,FALSE,0.44598831704090225
49,3.044912802926983e-7,1.2454627463131511,FALSE,0.44546448257259424
50,3.023802542044589e-7,1.2438099726604843,FALSE,0.4449406481042862
51,2.90785932830056e-7,1.2345216121662603,TRUE,0.4879894019935508
52,2.8867832576416536e-7,1.2327934690594384,FALSE,0.4874655675252427
53,2.8478726314572336e-7,1.2295695634490666,FALSE,0.4869417330569347
54,2.847599714476541e-7,1.2295467959353448,TRUE,0.5290983869536978
55,2.845237021173829e-7,1.2293496020507253,FALSE,0.5285745524853898
56,2.8379665874730725e-7,1.2287417720440663,FALSE,0.5280507180170818
57,2.814996653303951e-7,1.2268111343752177,FALSE,0.5275268835487738
58,2.8007837019452437e-7,1.2256086210988537,FALSE,0.5270030490804658
59,2.776807120885827e-7,1.223566139862817,FALSE,0.5264792146121577
60,2.754293772278563e-7,1.221632187776295,FALSE,0.5259553801438497
61,2.7190415309024916e-7,1.2185719478125443,FALSE,0.5254315456755417
62,2.7131843489204217e-7,1.2180596460359396,TRUE,0.5655982773176603
63,2.708999782148171e-7,1.217692962742865,FALSE,0.5650744428493523
64,2.683357673861405e-7,1.2154335627345974,TRUE,0.6047996121430264
65,2.62727295240746e-7,1.2104155770923266,FALSE,0.6042757776747183
66,2.577775517520695e-7,1.2058971653588089,FALSE,0.6037519432064102
67,2.5637591311725633e-7,1.2046018987641613,FALSE,0.6032281087381023
68,2.53590243122308e-7,1.2020064800790522,TRUE,0.6407703098296216
69,2.5344723521337216e-7,1.2018724708211679,FALSE,0.6402464753613136
70,2.478443169815334e-7,1.196561709538745,TRUE,0.6769380336521558
71,2.475873017621832e-7,1.196315224844608,FALSE,0.6764141991838477
72,2.458992334209086e-7,1.1946899335555543,FALSE,0.6758903647155398
73,2.457417329069822e-7,1.194537721615058,FALSE,0.6753665302472317
74,2.414036398088853e-7,1.190306492299481,FALSE,0.6748426957789236
75,2.406917568759292e-7,1.1896048904773227,FALSE,0.6743188613106157
76,2.405067084787205e-7,1.1894221747580873,FALSE,0.6737950268423076
77,2.3746888216998243e-7,1.1864023769588259,FALSE,0.6732711923739997
78,2.374530376761984e-7,1.1863865254374726,FALSE,0.6727473579056916
79,2.3701429255571257e-7,1.1859471650431856,FALSE,0.6722235234373836
80,2.354394744763325e-7,1.1843634119339945,FALSE,0.6716996889690756
81,2.3524335870939733e-7,1.184165442120925,FALSE,0.6711758545007676
82,2.347533025452675e-7,1.1836700306740946,TRUE,0.7059293828011528
83,2.3318576229475697e-7,1.1820783871040081,FALSE,0.7054055483328449
84,2.3302105477362385e-7,1.1819105261737237,FALSE,0.7048817138645368
85,2.2935586094911365e-7,1.1781441413156926,FALSE,0.7043578793962288
86,2.26567637275917e-7,1.1752384073870294,FALSE,0.7038340449279208
87,2.192708881753741e-7,1.167461527406952,FALSE,0.7033102104596127
88,2.174881153838106e-7,1.165522109777853,FALSE,0.7027863759913048
89,2.1744138532648937e-7,1.165471060189398,FALSE,0.7022625415229967
90,2.1701470500113466e-7,1.165004431256069,FALSE,0.7017387070546888
91,2.169040310411725e-7,1.164883245423114,FALSE,0.7012148725863807
92,2.1467964282226474e-7,1.1624343839407745,TRUE,0.7329966407721616
93,2.1301936402715819e-7,1.1605899642202506,FALSE,0.7324728063038536
94,2.128031709465006e-7,1.1603487360722844,FALSE,0.7319489718355456
95,2.1264499020125037e-7,1.16017208276095,FALSE,0.7314251373672376
96,2.0843511872611307e-7,1.1554216477878638,FALSE,0.7309013028989295
97,2.0392513119075515e-7,1.150224911712969,FALSE,0.7303774684306216
98,2.0281938634608833e-7,1.148933249122962,FALSE,0.7298536339623135
99,2.0100062142630265e-7,1.1467932851153846,FALSE,0.7293297994940056
100,2.00284371504221e-7,1.1459452244376729,FALSE,0.7288059650256975
101,2.001421450784337e-7,1.1457764633633158,FALSE,0.7282821305573894
102,1.9558837029952997e-7,1.1403087470524047,FALSE,0.7277582960890815
103,1.9408005034426333e-7,1.1384696051863026,FALSE,0.7272344616207734
104,1.8756837453631777e-7,1.1303621185718786,FALSE,0.7267106271524655
105,1.845198132836317e-7,1.1264692158069003,FALSE,0.7261867926841574
106,1.8248281894143809e-7,1.123832035041275,FALSE,0.7256629582158494
107,1.798864067456003e-7,1.1204276038502505,FALSE,0.7251391237475414
108,1.7978525843240976e-7,1.1202939851550047,TRUE,0.7517550307408754
109,1.781445815343644e-7,1.1181160597815778,FALSE,0.7512311962725674
110,1.746200529735201e-7,1.1133687754675223,FALSE,0.7507073618042593
111,1.7420922136149585e-7,1.112809190645813,FALSE,0.7501835273359514
112,1.726429239923651e-7,1.1106635964698282,FALSE,0.7496596928676433
113,1.7195994167513998e-7,1.1097219108470069,FALSE,0.7491358583993353
114,1.718315096947137e-7,1.1095444130683245,FALSE,0.7486120239310273
115,1.709533523823959e-7,1.1083272004839873,FALSE,0.7480881894627193
116,1.700454919537876e-7,1.107062225311256,FALSE,0.7475643549944113
117,1.688034654234936e-7,1.105320653205332,FALSE,0.7470405205261033
118,1.6678887468285045e-7,1.102468355797785,FALSE,0.7465166860577952
119,1.6353341763637306e-7,1.0977855845471796,FALSE,0.7459928515894872
120,1.6337843171652057e-7,1.0975603285245366,FALSE,0.7454690171211792
121,1.6070362265490116e-7,1.0936387360501474,FALSE,0.7449451826528712
122,1.6042362093682416e-7,1.0932244517734477,TRUE,0.7686947392717951
123,1.5873075759967938e-7,1.0907042230231212,FALSE,0.768170904803487
124,1.5765949999249678e-7,1.089095477791469,FALSE,0.7676470703351791
125,1.564167225892247e-7,1.0872154020232982,FALSE,0.767123235866871
126,1.5596968845647412e-7,1.0865354729002883,FALSE,0.766599401398563
127,1.544713531807511e-7,1.0842422406493266,FALSE,0.766075566930255
128,1.5318305997230957e-07,1.08225262630792,FALSE,0.765551732461947
129,1.5295994932384088e-7,1.0819063595308778,TRUE,0.7881963464887359
130,1.52732076673867e-7,1.0815521803989259,FALSE,0.787672512020428
131,1.5267009273093561e-7,1.0814557482413893,FALSE,0.7871486775521199
132,1.515517622077836e-7,1.0797091359146784,FALSE,0.786624843083812
133,1.5028807383975985e-7,1.0777199253127658,FALSE,0.7861010086155039
134,1.499552678684033e-7,1.0771932624458476,FALSE,0.7855771741471959
135,1.4820441908524405e-7,1.0744031641553158,FALSE,0.7850533396788879
136,1.4802735021116836e-7,1.074119159511606,FALSE,0.7845295052105798
137,1.4765647663449453e-7,1.0735232046785357,FALSE,0.7840056707422719
138,1.4760562754589794e-7,1.0734413788779378,TRUE,0.8058576161615416
139,1.4654180008364589e-7,1.0717229845431901,FALSE,0.8053337816932336
140,1.4637951958444166e-7,1.0714597576890081,FALSE,0.8048099472249255
141,1.4632449120423078e-7,1.0713704327234967,FALSE,0.8042861127566175
142,1.4623480675784585e-7,1.07122478019234,FALSE,0.8037622782883095
143,1.4612886279120032e-7,1.071052606164178,FALSE,0.8032384438200015
144,1.4589540801714505e-7,1.070672767910986,FALSE,0.8027146093516935
145,1.4589166199114386e-7,1.0706666680555765,FALSE,0.8021907748833854
146,1.4541716645704532e-7,1.0698927523451638,FALSE,0.8016669404150775
147,1.4323201289149337e-7,1.0662957996291444,FALSE,0.8011431059467694
148,1.427421641767341e-7,1.0654819383720253,FALSE,0.8006192714784615
149,1.4132784221368557e-7,1.0631163384933886,FALSE,0.8000954370101534
150,1.410213133621623e-7,1.0626005165283272,FALSE,0.7995716025418453
151,1.406746601811891e-7,1.062015821278237,FALSE,0.7990477680735374
152,1.3870588000741642e-7,1.0586675313246008,FALSE,0.7985239336052293
153,1.386274918592761e-7,1.0585332353236416,FALSE,0.7980000991369214
154,1.3761456301848372e-7,1.0567910037357986,FALSE,0.7974762646686133
155,1.3735130249263794e-7,1.0563360975003295,FALSE,0.7969524302003053
156,1.368581143103418e-7,1.0554815315966277,FALSE,0.7964285957319973
157,1.3642247703132088e-7,1.0547241209386067,FALSE,0.7959047612636893
158,1.3495206976120846e-7,1.052149652473468,FALSE,0.7953809267953813
159,1.3366312734255874e-7,1.0498697248194717,FALSE,0.7948570923270732
160,1.3087836781426296e-7,1.0448679431172139,FALSE,0.7943332578587652
161,1.300156813210594e-7,1.0432968381403742,FALSE,0.7938094233904572
162,1.2921292069709097e-7,1.0418254768419004,FALSE,0.7932855889221492
163,1.2822175554925037e-7,1.0399961305722167,FALSE,0.7927617544538412
164,1.2754516006785358e-7,1.0387392311225392,FALSE,0.7922379199855332
165,1.2685291661950144e-7,1.0374463431403262,FALSE,0.7917140855172252
166,1.2361879430123505e-7,1.0313110305792426,FALSE,0.7911902510489172
167,1.2349406492832633e-7,1.0310712090178524,FALSE,0.7906664165806091
168,1.2090460080777825e-7,1.026036873972174,FALSE,0.7901425821123012
169,1.2053872748573897e-7,1.025316877011616,FALSE,0.7896187476439931
170,1.1989196594788146e-7,1.0240387614584072,FALSE,0.7890949131756851
171,1.189402899223031e-7,1.0221454884525938,FALSE,0.7885710787073771
172,1.1745488454159697e-7,1.0191599209300226,FALSE,0.788047244239069
173,1.1739809871293261e-7,1.0190450371567714,FALSE,0.7875234097707611
174,1.1657628894218593e-7,1.0173761784717656,FALSE,0.786999575302453
175,1.1296222423717398e-7,1.0098946376982212,FALSE,0.7864757408341451
176,1.122518465903399e-7,1.0083959539321647,FALSE,0.785951906365837
