"logFC","AveExpr","t","P.Value","adj.P.Val","B","probe_id","symbol","neg_log10_fdr","category"
0.33473059981843,8.59857871870769,10.6102589450594,4.83972282189757e-21,1.47103375171577e-16,37.1312589290494,"ILMN_1753426","KIAA0556",15.8323773626119,"NS"
0.486717235844414,8.67561482591795,10.4493729233154,1.43707842186395e-20,2.10157937596478e-16,36.0693815808018,"ILMN_2264625","NIPBL",15.6774542021884,"NS"
0.237666437181569,7.06522396808205,10.3949756996087,2.07426817828404e-20,2.10157937596478e-16,35.7113171051458,"ILMN_1678494","ZNF438",15.6774542021884,"NS"
0.538722779271512,7.42577941651282,10.3236900434824,3.35269214386221e-20,2.54762694281729e-16,35.2428557222234,"ILMN_1708537","RBPJ",15.5938641668146,"NS"
0.328544634179886,7.5622010744,10.2725803955615,4.72781396302716e-20,2.87403810812421e-16,34.9075333980427,"ILMN_2151048","STAG1",15.5415074776637,"NS"
0.773756327979696,8.7013272124359,10.200736831789,7.65826750566576e-20,3.06734146289558e-16,34.4369763495858,"ILMN_1663195","MCM7",15.5132378747522,"Up in AD"
0.503582515324952,7.8730029389641,10.1999294470653,7.69984911582735e-20,3.06734146289558e-16,34.4316935653432,"ILMN_2299612","TMEM150A",15.5132378747522,"NS"
0.430173607297812,7.55944277028718,10.1928673069792,8.07327906009695e-20,3.06734146289558e-16,34.3854905558431,"ILMN_1755234","SSH3",15.5132378747522,"NS"
-0.549320592724385,11.0992020147128,-10.0816004854589,1.7004330178609e-19,5.74274017532024e-16,33.6587827888692,"ILMN_2179018","NDUFAB1",15.2408808325047,"NS"
0.413220425342415,7.93874702133333,10.0459832300218,2.15723301884598e-19,6.55690976078234e-16,33.4266608213826,"ILMN_2160764","HBP1",15.1833007932534,"NS"
-0.562232474466968,7.7436874322,-9.94886192413526,4.12211377216998e-19,1.13901498277369e-15,32.7949850797096,"ILMN_1891857","RAB2A",14.9434705631087,"NS"
0.447560002629287,9.12473256760513,9.83650918544485,8.69756158001505e-19,2.20301986853798e-15,32.0666442813681,"ILMN_1714965","NFKB1",14.6569815860279,"NS"
0.686226092976856,8.38015847915897,9.7592218150263,1.45141730420979e-18,3.15124440685315e-15,31.5671663626848,"ILMN_1673232","CERS1",14.5015179121445,"Up in AD"
0.623270562776562,8.78947942006667,9.75921635921844,1.45146970541023e-18,3.15124440685315e-15,31.5671311494673,"ILMN_1774387","ZHX3",14.5015179121445,"Up in AD"
0.821211229928676,10.6749240542256,9.70795675585852,2.03702139522813e-18,3.86970408174743e-15,31.2365762037421,"ILMN_1773154","NFKBIA",14.4123222444327,"Up in AD"
0.333251711525352,9.23984483215385,9.70912329639732,2.02138377680061e-18,3.86970408174743e-15,31.2440923667893,"ILMN_1749838","MZF1",14.4123222444327,"NS"
0.402174178139912,7.7636871068,9.69408261069995,2.23249518307026e-18,3.99157006408356e-15,31.1472065720654,"ILMN_1703650","TNIP1",14.3988562431491,"NS"
0.506777577681885,7.78723487529744,9.67605677692521,2.51458166435931e-18,4.2461505382334e-15,31.0311581551558,"ILMN_1804652","PLEKHH3",14.3720046129102,"NS"
0.587798413085104,7.80302729137949,9.62156537846841,3.60150574465927e-18,5.76146142678519e-15,30.6807932843003,"ILMN_1705442","CMTM3",14.2394673413883,"Up in AD"
0.724790188952346,7.33969732447179,9.5379738737975,6.24087149759704e-18,9.4845644584731e-15,30.1446459044074,"ILMN_1670881","CHST6",14.0229826075929,"Up in AD"
0.892417054002945,9.06322081643077,9.51703669858134,7.16038989258228e-18,1.03638119421447e-14,30.0106124422643,"ILMN_1742330","PLXNB1",13.98448047616,"Up in AD"
0.293914023880812,9.14087219767692,9.45818854657777,1.05309824742912e-17,1.45495096502765e-14,29.6344424874481,"ILMN_1724544","PPP4R1",13.8371516430882,"NS"
0.348579505057542,8.19589018650769,9.43998747250996,1.18634638720714e-17,1.56778254083309e-14,29.5182658524224,"ILMN_1800390","ZNF511",13.8047141762598,"NS"
0.731726149717021,7.63466052251282,9.38928588697005,1.65258116726942e-17,1.92221288444107e-14,29.1950656497978,"ILMN_1655612","ARRDC2",13.7161985160337,"Up in AD"
0.569114536800547,7.88524896101026,9.38502185374872,1.69924768997641e-17,1.92221288444107e-14,29.1679131135174,"ILMN_1786024","POLR3H",13.7161985160337,"NS"
0.480883811588575,9.57564046647179,9.38427910985034,1.70750938904126e-17,1.92221288444107e-14,29.1631839240688,"ILMN_1756669","POGK",13.7161985160337,"NS"
0.402111141353671,7.46540140277436,9.39254476723272,1.61777629412029e-17,1.92221288444107e-14,29.2158205942613,"ILMN_1784447","PLCE1",13.7161985160337,"NS"
0.4822322324919,8.55439765205641,9.37211162374083,1.84867894109233e-17,1.97124678164378e-14,29.085730712285,"ILMN_1747303","DDX39A",13.7052590027134,"NS"
0.292085432312434,8.41443058745641,9.36947434645933,1.88077501785391e-17,1.97124678164378e-14,29.0689477324674,"ILMN_1813489","RAF1",13.7052590027134,"NS"
0.459060704300863,8.82827505160513,9.34022306406356,2.2761405079614e-17,2.23171905611248e-14,28.8829160555396,"ILMN_2194828","PAGR1",13.65136047822,"NS"
0.31259651888239,10.2022772934974,9.34317921676156,2.23269385256027e-17,2.23171905611248e-14,28.9017068145667,"ILMN_1815319","CMTM4",13.65136047822,"NS"
0.826160424689143,7.89728825812821,9.32892712256549,2.4500391197968e-17,2.28692231608671e-14,28.8111337147742,"ILMN_1757660","CAPS",13.6407485875873,"Up in AD"
-0.481714040888281,7.7950352676,-9.32229889959028,2.55816281450726e-17,2.28692231608671e-14,28.7690282840975,"ILMN_2373779","COPS8",13.6407485875873,"NS"
0.408934948199558,8.03734673730769,9.31778991789224,2.63441390653654e-17,2.28780030540509e-14,28.740391554441,"ILMN_1757781","SAP30L",13.6405818863675,"NS"
-0.63378592269009,7.60070435682564,-9.29813523824655,2.99406125008235e-17,2.50303108656191e-14,28.615623976103,"ILMN_1720710","HSPB3",13.6015337566089,"Down in AD"
0.319302240796444,6.89699349995897,9.29511387382036,3.05351662232526e-17,2.50303108656191e-14,28.5964531013146,"ILMN_1801934","SERTAD3",13.6015337566089,"NS"
0.255067939602146,6.99855745285128,9.29134625915014,3.12930354628566e-17,2.50303108656191e-14,28.5725504460782,"ILMN_1715416","NUP188",13.6015337566089,"NS"
0.801848677125394,8.78069975147692,9.26372800569625,3.74498240491465e-17,2.91868564608669e-14,28.3974443321663,"ILMN_1775330","CCDC9B",13.5348126777155,"Up in AD"
-0.993303876121503,9.17647278216923,-9.2415876634146,4.3243345188792e-17,2.99260998707182e-14,28.2572109881501,"ILMN_1773307","NAP1L5",13.52394987905,"Down in AD"
0.590503190860509,10.4184446791538,9.24423099835104,4.25073405290819e-17,2.99260998707182e-14,28.2739467889828,"ILMN_2333319","PTBP1",13.52394987905,"Up in AD"
-0.369266480860615,7.93167706722051,-9.25452140552939,3.97587826646649e-17,2.99260998707182e-14,28.3391158580367,"ILMN_1728071","KRAS",13.52394987905,"NS"
0.232498340166737,8.98388803266667,9.25087358559805,4.07122877856321e-17,2.99260998707182e-14,28.316011113821,"ILMN_2356672","EIF2B4",13.52394987905,"NS"
0.373935498695666,7.44059436785641,9.23432138055616,4.53324616243078e-17,3.06195593571297e-14,28.2112151488447,"ILMN_1749799","HMGN5",13.5140010634792,"NS"
0.470562826962655,8.76532298050769,9.22671033944232,4.76283056132802e-17,3.1470920632949e-14,28.1630516707974,"ILMN_1716552","ENAH",13.5020905522898,"NS"
0.335756220077214,9.86192954714359,9.21356783933635,5.18679382030772e-17,3.35431059932453e-14,28.0799200306898,"ILMN_1689445","POLR2H",13.4743967254726,"NS"
-0.497487749272776,8.89486274751795,-9.20076195023692,5.63592896486451e-17,3.42608121774114e-14,27.9989609925621,"ILMN_1779401","CHP1",13.4652023459827,"NS"
0.288636656356301,6.57874494974872,9.20262404824862,5.56829519560658e-17,3.42608121774114e-14,28.0107305379516,"ILMN_1773623","HSD17B1",13.4652023459827,"NS"
-0.272941133932043,6.77479934868718,-9.2061210684796,5.44345133262794e-17,3.42608121774114e-14,28.0328362011159,"ILMN_1654468","ACRV1",13.4652023459827,"NS"
0.189885366224384,6.53951867132308,9.17051784654388,6.85600242636599e-17,4.08604301469401e-14,27.8079283408962,"ILMN_2404665","TRIM5",13.3886970657638,"NS"
0.812417669168525,11.1020938747026,9.15951650939101,7.36210885346425e-17,4.09211972370542e-14,27.738499886357,"ILMN_1795937","EZR",13.3880516685611,"Up in AD"
0.520711063393646,9.45073599330769,9.16084087130419,7.29926960968398e-17,4.09211972370542e-14,27.7468561155403,"ILMN_1692962","CTDSP2",13.3880516685611,"NS"
0.46670448320871,7.50565970668718,9.16664788295853,7.029967315091e-17,4.09211972370542e-14,27.7835016875004,"ILMN_1709032","FYCO1",13.3880516685611,"NS"
-0.221724689436146,12.3197025248205,-9.15862475550789,7.40472396130279e-17,4.09211972370542e-14,27.7328735148417,"ILMN_2058070","NEDD8",13.3880516685611,"NS"
-0.434693563934357,8.68852948528205,-9.14479237710415,8.09801716873452e-17,4.3953434257801e-14,27.6456275449222,"ILMN_2103720","MRPL15",13.3570071860978,"NS"
0.32364189486114,7.37292751194872,9.13808777146264,8.45689798199867e-17,4.50960375724297e-14,27.6033574589837,"ILMN_1688381","BPTF",13.3458616163489,"NS"
0.765968237401851,8.99019379855898,9.121199916208,9.43243620751141e-17,4.9430844573674e-14,27.4969390497409,"ILMN_2165473","MID1IP1",13.3060019691356,"Up in AD"
0.248809989767094,8.69236632595898,9.11058590439687,1.01019641911485e-16,5.20422375576203e-14,27.4300943304218,"ILMN_1769473","SETD2",13.2836440392043,"NS"
