source,target,ligand,receptor,interaction_name_2,LR_Pair,communication_strength
CapEC_ActMid,Excitatory,VWF,SIRPA,VWF - SIRPA,VWF:SIRPA,3.90344712748931
CapEC_ActHigh,CapEC_ActHigh,TGM2,ITGB1,TGM2 - ITGB1,TGM2:ITGB1,3.89763193889997
CapEC_ActHigh,CapEC_ActLow,PDGFC,FLT1,PDGFC - FLT1,PDGFC:FLT1,3.89569937689265
CapEC_ActMid,CapEC_ActLow,VEGFC,FLT1,VEGFC - FLT1,VEGFC:FLT1,3.88311539457363
CapEC_ActHigh,CapEC_ActLow,VEGFC,FLT1,VEGFC - FLT1,VEGFC:FLT1,3.87220743527883
CapEC_ActLow,OPCs,VWF,LRP1,VWF - LRP1,VWF:LRP1,3.868944399429
CapEC_ActHigh,Astrocytes,VWF,SIRPA,VWF - SIRPA,VWF:SIRPA,3.86328298116282
CapEC_ActMid,CapEC_ActMid,EDN1,ADGRL4,EDN1 - ADGRL4,EDN1:ADGRL4,3.84909649065464
CapEC_ActHigh,OPCs,SPARC,FGFR1,SPARC - FGFR1,SPARC:FGFR1,3.83342130048246
CapEC_ActMid,Oligodendrocytes,FN1,MAG,FN1 - MAG,FN1:MAG,3.82987881623994
CapEC_ActMid,Astrocytes,PDGFB,ADGRV1,PDGFB - ADGRV1,PDGFB:ADGRV1,3.81087589061174
CapEC_ActHigh,Microglia,TGM2,ITGA9,TGM2 - ITGA9,TGM2:ITGA9,3.80877750513831
CapEC_ActHigh,CapEC_ActLow,SPARC,ENG,SPARC - ENG,SPARC:ENG,3.80619833605669
CapEC_ActMid,CapEC_ActHigh,PDGFC,FLT1,PDGFC - FLT1,PDGFC:FLT1,3.78122747656311
CapEC_ActHigh,Endothelial,VWF,ITGB1,VWF - ITGB1,VWF:ITGB1,3.77418129832661
CapEC_ActLow,CapEC_ActMid,VWF,ITGB1,VWF - ITGB1,VWF:ITGB1,3.7584674831426
CapEC_ActHigh,Astrocytes,VWF,LRP1,VWF - LRP1,VWF:LRP1,3.74982005142202
CapEC_ActMid,CapEC_ActMid,SORBS1,ITGA1,SORBS1 - ITGA1,SORBS1:ITGA1,3.74637733727614
CapEC_ActMid,Astrocytes,VWF,SIRPA,VWF - SIRPA,VWF:SIRPA,3.73781076761127
CapEC_ActMid,CapEC_ActMid,PDGFC,FLT1,PDGFC - FLT1,PDGFC:FLT1,3.72422218612749
CapEC_ActHigh,CapEC_ActLow,FN1,ITGA6,FN1 - ITGA6,FN1:ITGA6,3.72253369425623
CapEC_ActHigh,CapEC_ActMid,SORBS1,ITGA1,SORBS1 - ITGA1,SORBS1:ITGA1,3.71580187585757
CapEC_ActHigh,CapEC_ActHigh,LGALS3,ENG,LGALS3 - ENG,LGALS3:ENG,3.71494992090924
CapEC_ActMid,Microglia,CFH,ITGAM,CFH - ITGAM,CFH:ITGAM,3.71077610784202
CapEC_ActMid,CapEC_ActMid,FN1,ITGA6,FN1 - ITGA6,FN1:ITGA6,3.70410558689883
CapEC_ActLow,CapEC_ActMid,SORBS1,ITGA1,SORBS1 - ITGA1,SORBS1:ITGA1,3.70410558689883
CapEC_ActHigh,Microglia,ICAM2,ITGAM_ITGB2,ICAM2 - ITGAM_ITGB2,ICAM2:ITGAM_ITGB2,3.69625626709721
CapEC_ActHigh,CapEC_ActLow,VWF,ITGB1,VWF - ITGB1,VWF:ITGB1,3.69086778987713
CapEC_ActHigh,Oligodendrocytes,FN1,ITGA2,FN1 - ITGA2,FN1:ITGA2,3.66284018683941
CapEC_ActMid,CapEC_ActLow,SORBS1,ITGA1,SORBS1 - ITGA1,SORBS1:ITGA1,3.65195562095133
CapEC_ActMid,Endothelial,VWF,ITGB1,VWF - ITGB1,VWF:ITGB1,3.65035964933864
CapEC_ActHigh,Microglia,ANXA2,TLR2,ANXA2 - TLR2,ANXA2:TLR2,3.645583630928
CapEC_ActHigh,CapEC_ActMid,TGM2,ITGB1,TGM2 - ITGB1,TGM2:ITGB1,3.63766296351018
CapEC_ActMid,CapEC_ActHigh,FN1,ITGA6,FN1 - ITGA6,FN1:ITGA6,3.63450836147113
CapEC_ActHigh,CapEC_ActLow,SORBS1,ITGA1,SORBS1 - ITGA1,SORBS1:ITGA1,3.62196709250441
CapEC_ActMid,Astrocytes,VWF,LRP1,VWF - LRP1,VWF:LRP1,3.62040803512039
