LR_Pair,n_CN,n_AD,CN_median,AD_median,AD_minus_CN_median,mann_whitney_p,FDR
ANGPT2:TEK,3,3,0.0801905643254389,0.0784056315867419,-0.001784932738697,0.7,1.0
DLL4:NOTCH3,3,3,0.0892983883988201,0.056728426975819,-0.032569961423001,1.0,1.0
