receiver_context,ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,target_families,source_cellstates,target_cellstates,receptor_examples,lr_pair_examples,receptor_supported_by_nichenet
Cerebrovascular cells,SPON1,SPON1,25,1.6926432282078796,0.5278493459911533,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,APP;LRP8,SPON1 - APP;SPON1 - LRP8,TRUE
Cerebrovascular cells,COL18A1,COL18A1,113,1.681867551738096,0.3737520324373511,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,GPC1;GPC4;ITGA1_ITGB1;ITGA10_ITGB1;ITGA11_ITGB1,COL18A1 - GPC1;COL18A1 - GPC4;COL18A1 - ITGA1/ITGB1;COL18A1 - ITGA10/ITGB1;COL18A1 - ITGA11/ITGB1,TRUE
Cerebrovascular cells,PGF,PGF,37,1.68100184239781,0.4698105674032506,Vascular,Vascular,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,FLT1_KDR;NRP1;NRP2,PGF - FLT1/KDR;PGF - NRP1;PGF - NRP2,TRUE
Cerebrovascular cells,DLL1,DLL1,26,1.68006912872481,0.37518414231898733,Astrocyte;Vascular,Vascular,Astro_Intermediate;CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NOTCH1;NOTCH2;NOTCH3;NOTCH4,DLL1 - NOTCH1;DLL1 - NOTCH2;DLL1 - NOTCH3;DLL1 - NOTCH4,TRUE
Cerebrovascular cells,LRP1B,LRP1B,4,1.65239811589463,0.7595638112584676,Astrocyte,Vascular,Astro_Intermediate,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PLAUR,LRP1B - PLAUR,TRUE
Cerebrovascular cells,PDGFA,PDGFA,13,1.6261604316552,0.47181408659063745,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,Cerebrovascular_Pericyte;Cerebrovascular_Venous,PDGFRA;PDGFRB,PDGFA - PDGFRA;PDGFA - PDGFRB,TRUE
Cerebrovascular cells,IL18,IL18,4,1.62212515210362,1.45686957753065,Microglia,Vascular,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;Cerebrovascular_Pericyte,IL18BP;IL1RL2,IL18 - IL18BP;IL18 - IL1RL2,TRUE
Cerebrovascular cells,ANGPTL1,ANGPTL1,10,1.61417071097111,0.8693230971225232,Vascular,Vascular,Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGA1_ITGB1;TEK,ANGPTL1 - ITGA1/ITGB1;ANGPTL1 - TEK,TRUE
Cerebrovascular cells,LAMA4,LAMA4,70,1.58990808927931,0.3177008319875565,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;DAG1;ITGA2_ITGB1;ITGA3_ITGB1;ITGA6_ITGB1,LAMA4 - CD44;LAMA4 - DAG1;LAMA4 - ITGA2/ITGB1;LAMA4 - ITGA3/ITGB1;LAMA4 - ITGA6/ITGB1,TRUE
Cerebrovascular cells,COL27A1,COL27A1,46,1.58763944897809,0.5146705815999474,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGA1_ITGB1;ITGA10_ITGB1;ITGA11_ITGB1;ITGA2_ITGB1,COL27A1 - ITGA1/ITGB1;COL27A1 - ITGA10/ITGB1;COL27A1 - ITGA11/ITGB1;COL27A1 - ITGA2/ITGB1,TRUE
Cerebrovascular cells,SERPINA1,SERPINA1,2,1.58421717236742,0.9798013517336326,Microglia,Vascular,Micro_DAM,Cerebrovascular_Pericyte;Cerebrovascular_Venous,LRP1,SERPINA1 - LRP1,TRUE
Cerebrovascular cells,LAMA1,LAMA1,75,1.5277698558038404,0.4827634511252244,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;DAG1;ITGA1;ITGA2_ITGB1;ITGA3_ITGB1,LAMA1 - CD44;LAMA1 - DAG1;LAMA1 - ITGA1;LAMA1 - ITGA2/ITGB1;LAMA1 - ITGA3/ITGB1,TRUE
Cerebrovascular cells,C1QA,C1QA,5,1.52582553668192,0.9382770756120934,Microglia,Vascular,Micro_DAM;Micro_Homeostatic,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,CD93,C1QA - CD93,TRUE
Cerebrovascular cells,WNT5A,WNT5A,46,1.5146031897920882,0.26789771385659455,Microglia,Vascular,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ANTXR1;EPHA7;FZD1;FZD3;FZD4,WNT5A - ANTXR1;WNT5A - EPHA7;WNT5A - FZD1;WNT5A - FZD3;WNT5A - FZD4,TRUE
Cerebrovascular cells,FGF13,FGF13,13,1.46245725057848,0.324022879483771,Vascular,Vascular,Cerebrovascular_Venous,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EGFR;FGFR1;FGFR2;SCN5A;SCN8A,FGF13 - EGFR;FGF13 - FGFR1;FGF13 - FGFR2;FGF13 - SCN5A;FGF13 - SCN8A,TRUE
Cerebrovascular cells,LAMC1,LAMC1,89,1.45888279457037,0.27093322140096077,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;DAG1;ITGA1;ITGA2_ITGB1;ITGA3_ITGB1,LAMC1 - CD44;LAMC1 - DAG1;LAMC1 - ITGA1;LAMC1 - ITGA2/ITGB1;LAMC1 - ITGA3/ITGB1,TRUE
Cerebrovascular cells,NCAN,NCAN,17,1.4581156076051442,0.5085233861522351,Astrocyte,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CDH2;SDC3,NCAN - CDH2;NCAN - SDC3,TRUE
Cerebrovascular cells,COL6A3,COL6A3,6,1.45747924541487,0.43835226936499067,Vascular,Vascular,Cerebrovascular_Venous,Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGA10_ITGB1;ITGA11_ITGB1;ITGA3_ITGB1;ITGA9_ITGB1;ITGAV_ITGB8,COL6A3 - ITGA10/ITGB1;COL6A3 - ITGA11/ITGB1;COL6A3 - ITGA3/ITGB1;COL6A3 - ITGA9/ITGB1;COL6A3 - ITGAV/ITGB8,TRUE
Cerebrovascular cells,DKK3,DKK3,16,1.42855512543792,0.483462269658713,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,KREMEN1,DKK3 - KREMEN1,TRUE
Cerebrovascular cells,COL9A2,COL9A2,54,1.41879895890197,0.3075163429052443,Astrocyte;Microglia,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGA1_ITGB1;ITGA10_ITGB1;ITGA11_ITGB1;ITGA2_ITGB1;ITGA3_ITGB1,COL9A2 - ITGA1/ITGB1;COL9A2 - ITGA10/ITGB1;COL9A2 - ITGA11/ITGB1;COL9A2 - ITGA2/ITGB1;COL9A2 - ITGA3/ITGB1,TRUE
Cerebrovascular cells,MMRN2,MMRN2,26,1.38990989601324,0.46959901064342324,Vascular,Vascular,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,CD248;CD93;CLEC14A,MMRN2 - CD248;MMRN2 - CD93;MMRN2 - CLEC14A,TRUE
Cerebrovascular cells,SEMA3C,SEMA3C,17,1.38727637773728,0.5370348110669125,Vascular,Vascular,Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NRP1_NRP2_PLXND1;NRP1_PLXNA1;NRP1_PLXNA2;NRP1_PLXNA3;NRP2_PLXNA1,SEMA3C - NRP1/NRP2/PLXND1;SEMA3C - NRP1/PLXNA1;SEMA3C - NRP1/PLXNA2;SEMA3C - NRP1/PLXNA3;SEMA3C - NRP2/PLXNA1,TRUE
Cerebrovascular cells,FGF2,FGF2,67,1.37157227760847,0.44988688839233115,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;FGFR1;FGFR2;FGFRL1;GPC4,FGF2 - CD44;FGF2 - FGFR1;FGF2 - FGFR2;FGF2 - FGFRL1;FGF2 - GPC4,TRUE
Cerebrovascular cells,SEMA3F,SEMA3F,32,1.36120510713844,0.3688914050530561,Vascular,Vascular,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NRP1;NRP2_PLXNA1;NRP2_PLXNA2;NRP2_PLXNA3,SEMA3F - NRP1;SEMA3F - NRP2/PLXNA1;SEMA3F - NRP2/PLXNA2;SEMA3F - NRP2/PLXNA3,TRUE
Cerebrovascular cells,SEMA3B,SEMA3B,88,1.34981320172728,0.3577247292904856,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NRP1_PLXNA1;NRP1_PLXNA2;NRP1_PLXNA3;NRP2_PLXNA1;NRP2_PLXNA2,SEMA3B - NRP1/PLXNA1;SEMA3B - NRP1/PLXNA2;SEMA3B - NRP1/PLXNA3;SEMA3B - NRP2/PLXNA1;SEMA3B - NRP2/PLXNA2,TRUE
