source,target,mean_strength_AD,n_lr_AD,mean_strength_CN,n_lr_CN,delta_AD_vs_CN,source_n_AD,source_n_CN,target_n_AD,target_n_CN,min_group_cell_count,source_family,target_family
OPCs,Inhibitory,0.414222837402555,595.0,0.467343496488051,607,-0.053120659085496014,9583,11259,18727,18751,9583,Oligo/OPC,Neuron
OPCs,Micro_DAM,0.444049015790346,394.0,0.469069098979939,393,-0.02502008318959298,9583,11259,10413,8260,8260,Oligo/OPC,Microglia
OPCs,Micro_Homeostatic,0.416260473177613,397.0,0.516449743954602,397,-0.10018927077698897,9583,11259,2452,2998,2452,Oligo/OPC,Microglia
OPCs,OPCs,0.59778605534763,534.0,0.679516580025037,547,-0.08173052467740705,9583,11259,9583,11259,9583,Oligo/OPC,Oligo/OPC
OPCs,Oligodendrocytes,0.455495749632868,378.0,0.537008131936656,385,-0.08151238230378799,9583,11259,80232,64998,9583,Oligo/OPC,Oligo/OPC
Oligodendrocytes,Astro_Homeostatic,0.649613082097691,373.0,0.690416059395761,393,-0.04080297729807003,80232,64998,7441,10219,7441,Oligo/OPC,Astrocyte
Oligodendrocytes,Astro_Intermediate,0.642328024673129,365.0,0.745171291071626,381,-0.10284326639849706,80232,64998,5602,5852,5602,Oligo/OPC,Astrocyte
Oligodendrocytes,Astro_Reactive,0.643168799951534,385.0,0.704563324883053,394,-0.06139452493151898,80232,64998,1387,1200,1200,Oligo/OPC,Astrocyte
Oligodendrocytes,CapEC_ActHigh,1.01323334323052,283.0,1.05733117844646,291,-0.04409783521594002,80232,64998,134,124,124,Oligo/OPC,Vascular
Oligodendrocytes,CapEC_ActLow,0.796661867744504,255.0,0.772693406912259,254,0.02396846083224502,80232,64998,129,129,129,Oligo/OPC,Vascular
Oligodendrocytes,CapEC_ActMid,0.957843289880559,258.0,0.90063071645449,284,0.057212573426069,80232,64998,154,112,112,Oligo/OPC,Vascular
Oligodendrocytes,Cerebrovascular_Pericyte,0.673415256444934,430.0,0.677643093634973,428,-0.004227837190038941,80232,64998,516,449,449,Oligo/OPC,Vascular
Oligodendrocytes,Cerebrovascular_Venous,0.46561731823762,363.0,0.47209360898484,373,-0.006476290747220004,80232,64998,328,317,317,Oligo/OPC,Vascular
Oligodendrocytes,Excitatory,0.493594171163676,393.0,0.492937707408533,400,0.0006564637551429997,80232,64998,62331,65392,62331,Oligo/OPC,Neuron
Oligodendrocytes,Inhibitory,0.449569793242061,378.0,0.431466839095255,392,0.01810295414680596,80232,64998,18727,18751,18727,Oligo/OPC,Neuron
Oligodendrocytes,Micro_DAM,0.54517971385855,259.0,0.50486797952221,263,0.040311734336340055,80232,64998,10413,8260,8260,Oligo/OPC,Microglia
Oligodendrocytes,Micro_Homeostatic,0.535482098440334,256.0,0.561515894039951,254,-0.026033795599616938,80232,64998,2452,2998,2452,Oligo/OPC,Microglia
Oligodendrocytes,OPCs,0.646302929160622,323.0,0.633187815359991,344,0.013115113800631018,80232,64998,9583,11259,9583,Oligo/OPC,Oligo/OPC
Oligodendrocytes,Oligodendrocytes,0.474732787048585,236.0,0.458194907669652,238,0.01653787937893303,80232,64998,80232,64998,64998,Oligo/OPC,Oligo/OPC
