source,target,mean_strength_AD,n_lr_AD,mean_strength_CN,n_lr_CN,delta_AD_vs_CN,source_n_AD,source_n_CN,target_n_AD,target_n_CN,min_group_cell_count,source_family,target_family
Astro_Reactive,Micro_Homeostatic,0.380479883963187,456.0,0.700509798548378,449,-0.32002991458519103,1387,1200,2452,2998,1200,Astrocyte,Microglia
Astro_Reactive,OPCs,0.495707832798362,532.0,0.851561106967359,565,-0.355853274168997,1387,1200,9583,11259,1200,Astrocyte,Oligo/OPC
Astro_Reactive,Oligodendrocytes,0.318649218280448,385.0,0.641808264132971,391,-0.323159045852523,1387,1200,80232,64998,1200,Astrocyte,Oligo/OPC
CapEC_ActHigh,Astro_Homeostatic,0.66439691424489,551.0,0.775405653913609,607,-0.11100873966871905,134,124,7441,10219,124,Vascular,Astrocyte
CapEC_ActHigh,Astro_Intermediate,0.671176714834495,543.0,0.816289992847335,591,-0.14511327801284002,134,124,5602,5852,124,Vascular,Astrocyte
CapEC_ActHigh,Astro_Reactive,0.704620509389961,572.0,0.836272063309601,612,-0.13165155391964,134,124,1387,1200,124,Vascular,Astrocyte
CapEC_ActHigh,CapEC_ActHigh,0.999390893109186,426.0,1.12416618007824,464,-0.12477528696905404,134,124,134,124,124,Vascular,Vascular
CapEC_ActHigh,CapEC_ActLow,0.801172059854238,384.0,0.866491721426689,393,-0.06531966157245095,134,124,129,129,124,Vascular,Vascular
CapEC_ActHigh,CapEC_ActMid,0.958907229247062,400.0,0.988252983231371,441,-0.029345753984309053,134,124,154,112,112,Vascular,Vascular
CapEC_ActHigh,Cerebrovascular_Pericyte,0.729141879854128,680.0,0.81109553495349,689,-0.08195365509936192,134,124,516,449,124,Vascular,Vascular
CapEC_ActHigh,Cerebrovascular_Venous,0.54764924097934,536.0,0.626667984408565,581,-0.07901874342922499,134,124,328,317,124,Vascular,Vascular
CapEC_ActHigh,Excitatory,0.503333573647648,536.0,0.577669382834146,577,-0.07433580918649807,134,124,62331,65392,124,Vascular,Neuron
CapEC_ActHigh,Inhibitory,0.440340199492065,510.0,0.514101271735091,549,-0.07376107224302603,134,124,18727,18751,124,Vascular,Neuron
CapEC_ActHigh,Micro_DAM,0.705587546664986,394.0,0.783698875381771,403,-0.07811132871678494,134,124,10413,8260,124,Vascular,Microglia
CapEC_ActHigh,Micro_Homeostatic,0.679218692531177,392.0,0.829630034789966,399,-0.15041134225878905,134,124,2452,2998,124,Vascular,Microglia
CapEC_ActHigh,OPCs,0.646908911909009,441.0,0.724292335654427,488,-0.07738342374541796,134,124,9583,11259,124,Vascular,Oligo/OPC
CapEC_ActHigh,Oligodendrocytes,0.472029598886659,297.0,0.554009513674518,323,-0.08197991478785899,134,124,80232,64998,124,Vascular,Oligo/OPC
CapEC_ActLow,Astro_Homeostatic,0.371890073517777,472.0,0.44372592114726,494,-0.07183584762948303,129,129,7441,10219,129,Vascular,Astrocyte
CapEC_ActLow,Astro_Intermediate,0.372216671652264,462.0,0.473425283363769,477,-0.10120861171150497,129,129,5602,5852,129,Vascular,Astrocyte
CapEC_ActLow,Astro_Reactive,0.426630762503913,488.0,0.489011261445206,497,-0.062380498941292994,129,129,1387,1200,129,Vascular,Astrocyte
CapEC_ActLow,CapEC_ActHigh,0.627085162551412,365.0,0.679811572031185,385,-0.05272640947977303,129,129,134,124,124,Vascular,Vascular
CapEC_ActLow,CapEC_ActLow,0.466928798267702,326.0,0.497518649436069,323,-0.030589851168366988,129,129,129,129,129,Vascular,Vascular
CapEC_ActLow,CapEC_ActMid,0.570367254077474,346.0,0.591663108510322,361,-0.021295854432847983,129,129,154,112,112,Vascular,Vascular
CapEC_ActLow,Cerebrovascular_Pericyte,0.409401968050203,576.0,0.443219349122239,569,-0.03381738107203597,129,129,516,449,129,Vascular,Vascular
CapEC_ActLow,Cerebrovascular_Venous,0.276629753811064,460.0,0.296226700256645,482,-0.019596946445580965,129,129,328,317,129,Vascular,Vascular
CapEC_ActLow,Excitatory,0.25913565982301,461.0,0.282181806068805,471,-0.023046146245794985,129,129,62331,65392,129,Vascular,Neuron
CapEC_ActLow,Inhibitory,0.238553835765108,439.0,0.255774250890452,448,-0.01722041512534403,129,129,18727,18751,129,Vascular,Neuron
