"avg.exp","pct.exp","features.plot","id","avg.exp.scaled","feature.groups"
3.49158730978953,45.8532110091743,"APOE","Homeostatic",-0.707106781186548,"DAM"
0.0529242953225056,1.04587155963303,"LPL","Homeostatic",-0.707106781186547,"DAM"
0.00974245186561024,0.220183486238532,"CST7","Homeostatic",-0.707106781186548,"DAM"
8.25489665772352,53.8348623853211,"SPP1","Homeostatic",-0.707106781186548,"DAM"
7.76081712975981,70.1834862385321,"P2RY12","Homeostatic",0.707106781186548,"Homeostatic"
0.487534656259663,11.1009174311927,"TMEM119","Homeostatic",0.707106781186548,"Homeostatic"
3.15392062040424,43.1376146788991,"CX3CR1","Homeostatic",0.707106781186548,"Homeostatic"
5.13451302014804,49.1672468269694,"APOE","DAM",0.707106781186548,"DAM"
0.169995883532195,3.06324639854335,"LPL","DAM",0.707106781186548,"DAM"
0.0257022599710587,0.417715417983184,"CST7","DAM",0.707106781186547,"DAM"
24.2356697321569,63.2410432174798,"SPP1","DAM",0.707106781186548,"DAM"
4.65696381989679,46.1896856423713,"P2RY12","DAM",-0.707106781186547,"Homeostatic"
0.411939648109937,8.71847051893108,"TMEM119","DAM",-0.707106781186548,"Homeostatic"
1.76000317752578,25.4913511487174,"CX3CR1","DAM",-0.707106781186547,"Homeostatic"
