drug_name,drug_id,source,category,gene,edge_weight
DRONEDARONE HYDROCHLORIDE,CHEMBL1201729,drug2cell_ChEMBL,No-category,CACNA1C,0.0
TERODILINE HYDROCHLORIDE,CHEMBL539770,drug2cell_ChEMBL,No-category,CACNA1C,0.0
PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,drug2cell_ChEMBL,No-category,PDGFRB,0.3328086640948141
DILTIAZEM MALATE,CHEMBL1200805,drug2cell_ChEMBL,No-category,CACNA1C,0.0
BEPRIDIL HYDROCHLORIDE,CHEMBL1200382,drug2cell_ChEMBL,No-category,CACNA1C,0.0
LERCANIDIPINE HYDROCHLORIDE,CHEMBL2106419,drug2cell_ChEMBL,No-category,CACNA1C,0.0
AMLODIPINE BESYLATE,CHEMBL1200402,drug2cell_ChEMBL,No-category,CACNA1C,0.0
VERAPAMIL HYDROCHLORIDE,CHEMBL1280,drug2cell_ChEMBL,No-category,CACNA1C,0.0
NICARDIPINE HYDROCHLORIDE,CHEMBL1200326,drug2cell_ChEMBL,No-category,CACNA1C,0.0
DILTIAZEM HYDROCHLORIDE,CHEMBL1697,drug2cell_ChEMBL,No-category,CACNA1C,0.0
IMATINIB MESYLATE,CHEMBL1642,drug2cell_ChEMBL,No-category,PDGFRB,0.3328086640948141
AMLODIPINE BENZOATE,CHEMBL4594262,drug2cell_ChEMBL,No-category,CACNA1C,0.0
TIVOZANIB HYDROCHLORIDE,CHEMBL2105756,drug2cell_ChEMBL,No-category,PDGFRB,0.3328086640948141
AMLODIPINE MALEATE,CHEMBL1200984,drug2cell_ChEMBL,No-category,CACNA1C,0.0
LEVAMLODIPINE MALEATE,CHEMBL4594288,drug2cell_ChEMBL,No-category,CACNA1C,0.0
TERFENADINE,CHEMBL17157,drug2cell_ChEMBL,R,CACNA1C,0.0
ASTEMIZOLE,CHEMBL296419,drug2cell_ChEMBL,R,CACNA1C,0.0
DIPYRIDAMOLE,CHEMBL932,drug2cell_ChEMBL,B,PDE7B,0.04793173192044233
SAQUINAVIR,CHEMBL114,drug2cell_ChEMBL,J,CACNA1C,0.0
DORIPENEM,CHEMBL491571,drug2cell_ChEMBL,J,CACNA1C,0.0
ABALOPARATIDE,CHEMBL3301581,drug2cell_ChEMBL,H,PTH1R,0.24355849163376725
TERIPARATIDE,CHEMBL525610,drug2cell_ChEMBL,H,PTH1R,0.24355849163376725
TERIPARATIDE ACETATE,CHEMBL1201549,drug2cell_ChEMBL,H,PTH1R,0.24355849163376725
PARATHYROID HORMONE,CHEMBL2108078,drug2cell_ChEMBL,H,PTH1R,0.24355849163376725
HALOFANTRINE,CHEMBL1107,drug2cell_ChEMBL,P,CACNA1C,0.0
TERODILINE,CHEMBL363295,drug2cell_ChEMBL,G04,CACNA1C,0.0
SOLIFENACIN,CHEMBL1734,drug2cell_ChEMBL,G04,CACNA1C,0.0
OCRIPLASMIN,CHEMBL2095222,drug2cell_ChEMBL,S01,COL4A3,0.030406636786443068
MIDOSTAURIN,CHEMBL608533,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141
IMATINIB,CHEMBL941,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141
DASATINIB,CHEMBL1421,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141
SORAFENIB,CHEMBL1336,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141
PAZOPANIB,CHEMBL477772,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141
VANDETANIB,CHEMBL24828,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141
REGORAFENIB,CHEMBL1946170,drug2cell_ChEMBL,L01,PDGFRB,0.3328086640948141
NILOTINIB,CHEMBL255863,drug2cell_ChEMBL,L01,CACNA1C,0.0
CHLORPROMAZINE,CHEMBL71,drug2cell_ChEMBL,N05,CACNA1C,0.0
DROPERIDOL,CHEMBL1108,drug2cell_ChEMBL,N05,CACNA1C,0.0
THIORIDAZINE,CHEMBL479,drug2cell_ChEMBL,N05,CACNA1C,0.0
SERTINDOLE,CHEMBL12713,drug2cell_ChEMBL,N05,CACNA1C,0.0
HALOPERIDOL,CHEMBL54,drug2cell_ChEMBL,N05,CACNA1C,0.0
CLOZAPINE,CHEMBL42,drug2cell_ChEMBL,N05,CACNA1C,0.0
PIMOZIDE,CHEMBL1423,drug2cell_ChEMBL,N05,CACNA1C,0.0
TESTOSTERONE,CHEMBL386630,drug2cell_ChEMBL,G03,CACNA1C,0.0
VERAPAMIL,CHEMBL6966,drug2cell_ChEMBL,C08,CACNA1C,0.0
BEPRIDIL,CHEMBL1008,drug2cell_ChEMBL,C08,CACNA1C,0.0
FELODIPINE,CHEMBL1480,drug2cell_ChEMBL,C08,CACNA1C,0.0
CLEVIDIPINE,CHEMBL1237132,drug2cell_ChEMBL,C08,CACNA1C,0.0
NIFEDIPINE,CHEMBL193,drug2cell_ChEMBL,C08,CACNA1C,0.0
NICARDIPINE,CHEMBL1484,drug2cell_ChEMBL,C08,CACNA1C,0.0
AMLODIPINE,CHEMBL1491,drug2cell_ChEMBL,C08,CACNA1C,0.0
NIMODIPINE,CHEMBL1428,drug2cell_ChEMBL,C08,CACNA1C,0.0
MIBEFRADIL,CHEMBL45816,drug2cell_ChEMBL,C08,CACNA1C,0.0
NITRENDIPINE,CHEMBL475534,drug2cell_ChEMBL,C08,CACNA1C,0.0
NISOLDIPINE,CHEMBL1726,drug2cell_ChEMBL,C08,CACNA1C,0.0
DILTIAZEM,CHEMBL23,drug2cell_ChEMBL,C08,CACNA1C,0.0
ISRADIPINE,CHEMBL1648,drug2cell_ChEMBL,C08,CACNA1C,0.0
AMIODARONE,CHEMBL633,drug2cell_ChEMBL,C01,CACNA1C,0.0
QUINIDINE,CHEMBL1294,drug2cell_ChEMBL,C01,CACNA1C,0.0
DORIPENEM,CHEMBL491571,drug2cell_ChEMBL,J01,CACNA1C,0.0
