rank_metric,library,ID,Description_clean,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,core_enrichment
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_ABNORMAL_CARDIAC_SEPTUM_MORPHOLOGY,Hp Abnormal Cardiac Septum Morphology,88,0.7294725831929781,1.0467288509592079,0.21878121878121878,0.7885696800920138,0.7691929046820378,NOTCH3/CACNA1C/TBX2/JAG1/CPE/FLNA/FILIP1/DST/CCND2/JAM3/SATB2/RRAS/NCAPG2/NDUFB7/CWC27/ACTA2/DTNA/FLI1/SETBP1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_SENSORY_SYSTEM_DEVELOPMENT,Gobp Sensory System Development,85,0.7296584862946625,1.0462629730767858,0.21878121878121878,0.7885696800920138,0.7691929046820378,PDGFRB/CACNA1C/TBX2/SNTB1/DMD/JAG1/BCL2/HIPK2/TMOD1/ADAMTS9/COL5A2/COL4A1/SPRY1/SSPN/EFNA5/LAMC3/MITF
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOCC_PLASMA_MEMBRANE_REGION,Gocc Plasma Membrane Region,272,0.7083244674092428,1.028623936476387,0.21878121878121878,0.7885696800920138,0.7691929046820378,PDGFRB/PTH1R/DGKB/SLC6A12/GRM3/CACNA1C/SLC19A1/ATP1A2/DMD/GPER1/JAG1/TESC/ADGRL3/ENPEP/TRPC4/TFPI/LIN7A/GABRE/SLC6A13/CNTN1/RGS7BP/ATP1B2/CD38/KCNB1/ADGRB3/SLC4A11/CNTN6/DST/KCNJ8/FERMT2/CYBA/ADGRE2/GRID2/CA4/PPFIA2/SLC22A3/SLC1A3/SSPN/SHISA6/EFNA5/IL1RAPL1/LMO7/EHD2/ANO1/PDZK1/ROBO2/SHROOM4/SLCO1C1/ABCA1/MGAM/EPB41L3/SLCO2B1/CACNA2D3/CNKSR3/CNGA1/EPHA4/TEK/NTM/ATP7B/SLC7A5/SLC39A10/IGSF21/BSG/ABCC4/KCTD8/SLC4A4/C1QA/ATP8B1/RIPOR2
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,Gobp Platelet Derived Growth Factor Receptor Signaling Pathway,17,0.7892505564625605,1.1101536573673803,0.219,0.788639344262295,0.7692608570606846,PDGFRB/TXNIP/PDGFA/NR4A3
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOCC_MICROTUBULE_ASSOCIATED_COMPLEX,Gocc Microtubule Associated Complex,14,0.8016194353608085,1.1237936760538825,0.22066198595787362,0.7921606524147359,0.7726956394450901,DYNC1I1/DNAH11/KIF5C
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_POLYMICROGYRIA,Hp Polymicrogyria,25,0.771152322655902,1.0912468928557684,0.22077922077922077,0.7921606524147359,0.7726956394450901,ATP1A2/KIF5C/CCND2/COL4A1/COL4A2/LAMC3
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_REGULATION_OF_COAGULATION,Gobp Regulation of Coagulation,25,0.7709590056385539,1.0909733326416324,0.22077922077922077,0.7921606524147359,0.7726956394450901,C1QTNF1/TFPI/PDGFA
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_COLOBOMA,Hp Coloboma,25,0.77085982182848,1.0908329790157858,0.22077922077922077,0.7921606524147359,0.7726956394450901,NOTCH3/FLNA/MED12L/SATB2/COL4A1/FLI1/MITF/NR4A2
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOMF_GUANYL_NUCLEOTIDE_BINDING,Gomf Guanyl Nucleotide Binding,56,0.7400896144995089,1.0564874878971626,0.2217782217782218,0.7943035225643922,0.7747858548773882,SLC19A1/GUCY1B1/GUCY1A2/MPPED2/GUCY1A1/RERGL/AGAP2/RRAS/RERG/EHD2
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_ABNORMAL_FUNDUS_MORPHOLOGY,Hp Abnormal Fundus Morphology,153,0.7166801953216289,1.034376216464562,0.2217782217782218,0.7943035225643922,0.7747858548773882,NOTCH3/PDGFRB/CACNA1C/ATP1A2/LPL/CYSLTR2/JAG1/DNAH11/KCNB1/CA2/DST/JAM3/CSF1R/GRID2/CA4/NCAPG2/TIMP3/COL4A1/CWC27/ACTA2/MITF/STAT4/CHSY1/NDUFB9
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_CONVEX_NASAL_RIDGE,Hp Convex Nasal Ridge,16,0.7922715855900203,1.114049670312147,0.2222222222222222,0.7951734539969834,0.7756344103093329,PDGFRB/SATB2/LTBP1/CSGALNACT1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_NAUSEA,Hp Nausea,17,0.7880904258033105,1.1085218266593184,0.223,0.7969277280712507,0.7773455782693242,ATP1A2/LPL/EDNRA/COL5A2/SLC1A3
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_REGULATION_OF_BONE_REMODELING,Gobp Regulation of Bone Remodeling,12,0.810282207606187,1.1350808711589195,0.22311557788944725,0.7969277280712507,0.7773455782693242,CD38/CSF1R/PDK4
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_SPECIFIC_LEARNING_DISABILITY,Hp Specific Learning Disability,42,0.7508838599573489,1.0668298296478371,0.22377622377622378,0.7985660548837444,0.7789436480297207,NOTCH3/DMD/JAG1/CA2/RRAS/COL4A1/DTNA/CACNA1H/NTN1/CHSY1/LTBP1/GRB10
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOCC_CONDENSED_CHROMOSOME,Gocc Condensed Chromosome,14,0.8002593702667179,1.1218869950474861,0.2246740220661986,0.7992043766439468,0.7795662849142565,DYNC1I1/TTN/HSPA2/NCAPG2
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_INCREASED_SUSCEPTIBILITY_TO_FRACTURES,Hp Increased Susceptibility to Fractures,40,0.7536483040873662,1.0699676865975538,0.22477522477522477,0.7992043766439468,0.7795662849142565,PDGFRB/PTH1R/SEMA5A/CA2/SATB2/SPARC/LTBP1/GK/TENT5A/ATP7B
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,Gobp Negative Regulation of Lipid Metabolic Process,20,0.7817858444162245,1.102967339178013,0.225,0.7992043766439468,0.7795662849142565,GPER1/CCDC3/PDGFA
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE,Gobp Regulation of Viral Life Cycle,20,0.7812413927145689,1.1021992100938462,0.225,0.7992043766439468,0.7795662849142565,AXL/BCL2/LGALS1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_DYSPHONIA,Hp Dysphonia,20,0.7811949117949754,1.102133633393305,0.225,0.7992043766439468,0.7795662849142565,NOTCH3/TTN
