group,source,target,n_lr,mean_strength,median_strength,source_n,target_n,source_family
CN,Oligodendrocytes,Astro_Homeostatic,393,0.690416059395761,0.206604161785785,64998,10219,Oligo/OPC
CN,CapEC_ActMid,Astro_Intermediate,554,0.68809934520204,0.403047731254006,112,5852,Vascular
CN,OPCs,Astro_Reactive,667,0.687915741443825,0.111683088004384,11259,1200,Oligo/OPC
CN,Astro_Homeostatic,Astro_Homeostatic,698,0.687373726403283,0.0600994492374707,10219,10219,Astrocyte
CN,CapEC_ActMid,Micro_Homeostatic,381,0.685423403991893,0.409963630321171,112,2998,Vascular
CN,Excitatory,CapEC_ActMid,590,0.680716722769962,0.239499413976693,65392,112,Neuron
CN,CapEC_ActLow,CapEC_ActHigh,385,0.679811572031185,0.602048802217442,129,124,Vascular
CN,Cerebrovascular_Pericyte,Cerebrovascular_Pericyte,915,0.679705271341401,0.316125514052618,449,449,Vascular
CN,Micro_Homeostatic,Micro_DAM,285,0.67967817675823,0.266462807236318,2998,8260,Microglia
CN,OPCs,OPCs,547,0.679516580025037,0.138633802699086,11259,11259,Oligo/OPC
CN,Oligodendrocytes,Cerebrovascular_Pericyte,428,0.677643093634973,0.231653086606649,64998,449,Oligo/OPC
CN,Micro_DAM,CapEC_ActLow,244,0.675053077393039,0.197385669488844,8260,129,Microglia
CN,Micro_Homeostatic,CapEC_ActLow,248,0.671335823989946,0.308472012021899,2998,129,Microglia
CN,Cerebrovascular_SMC,CapEC_ActMid,335,0.660478214108651,0.460365406913509,285,112,Vascular
CN,CapEC_ActMid,Cerebrovascular_Pericyte,653,0.6582385504959,0.373901532469157,112,449,Vascular
CN,Astro_Intermediate,CapEC_ActLow,486,0.656725517074247,0.337665231032666,5852,129,Astrocyte
CN,Micro_DAM,Astro_Intermediate,359,0.654658029300588,0.160759546411918,8260,5852,Microglia
CN,Astro_Reactive,Micro_DAM,452,0.652913128678116,0.408592539722512,1200,8260,Astrocyte
CN,Micro_Homeostatic,Astro_Intermediate,361,0.650162398815016,0.222939281897443,2998,5852,Microglia
CN,CapEC_ActMid,Astro_Homeostatic,571,0.650126546652345,0.431341339803743,112,10219,Vascular
CN,Cerebrovascular_Pericyte,Astro_Homeostatic,760,0.649593990493977,0.310204572816267,449,10219,Vascular
CN,Cerebrovascular_Venous,Astro_Homeostatic,728,0.649570270924161,0.377921049897247,317,10219,Vascular
