group,source,target,n_lr,mean_strength,median_strength,source_n,target_n,source_family
AD,Astro_Intermediate,Astro_Intermediate,637,0.654038548812066,0.103552647434117,5602,5602,Astrocyte
AD,Cerebrovascular_Venous,OPCs,566,0.651744075026018,0.265591489655409,328,9583,Vascular
AD,Oligodendrocytes,Astro_Homeostatic,373,0.649613082097691,0.141816293981999,80232,7441,Oligo/OPC
AD,Micro_DAM,Astro_Homeostatic,349,0.647590428508287,0.155881174715468,10413,7441,Microglia
AD,CapEC_ActHigh,OPCs,441,0.646908911909009,0.291680147361843,134,9583,Vascular
AD,Astro_Intermediate,Cerebrovascular_Pericyte,797,0.646738275898393,0.123253246186009,5602,516,Astrocyte
AD,Oligodendrocytes,OPCs,323,0.646302929160622,0.125362605175241,80232,9583,Oligo/OPC
AD,Astro_Reactive,CapEC_ActLow,502,0.645404827805896,0.271468765053084,1387,129,Astrocyte
AD,Oligodendrocytes,Astro_Reactive,385,0.643168799951534,0.070378649066546,80232,1387,Oligo/OPC
AD,Oligodendrocytes,Astro_Intermediate,365,0.642328024673129,0.143730060626342,80232,5602,Oligo/OPC
AD,Astro_Homeostatic,CapEC_ActLow,477,0.641292188699623,0.245126741851169,7441,129,Astrocyte
AD,Micro_DAM,Astro_Intermediate,337,0.640510721129153,0.113268673704923,10413,5602,Microglia
AD,Cerebrovascular_Venous,Cerebrovascular_Venous,764,0.639375122625321,0.355518295972879,328,328,Vascular
AD,Astro_Intermediate,OPCs,506,0.629017300986116,0.0,5602,9583,Astrocyte
AD,CapEC_ActLow,CapEC_ActHigh,365,0.627085162551412,0.483416791742087,129,134,Vascular
AD,OPCs,CapEC_ActLow,443,0.624556632987333,0.121302488518988,9583,129,Oligo/OPC
AD,Excitatory,CapEC_ActMid,559,0.62399848020224,0.20290143702524,62331,154,Neuron
AD,Micro_DAM,Astro_Reactive,359,0.622123846339215,0.0933530296069798,10413,1387,Microglia
AD,Micro_DAM,OPCs,308,0.616333509034448,0.0305867323087401,10413,9583,Microglia
AD,Cerebrovascular_Venous,Micro_DAM,461,0.613677137131174,0.277686420681534,328,10413,Vascular
AD,Micro_Homeostatic,CapEC_ActHigh,280,0.606216545116299,0.279873360905143,2452,134,Microglia
AD,Cerebrovascular_Pericyte,Oligodendrocytes,400,0.59789802431512,0.0546885206830822,516,80232,Vascular
AD,OPCs,OPCs,534,0.59778605534763,0.0053409242261511,9583,9583,Oligo/OPC
AD,CapEC_ActMid,CapEC_ActLow,369,0.591670932203041,0.405780282448732,154,129,Vascular
