receiver_context,gene,max_reg,sum_reg,n_nonzero,top_ligands
Cerebrovascular cells,ANXA2,0.06892608867249869,0.3410127247719746,20,IL1B:0.0689;FGF2:0.0673;VEGFA:0.0661;IL6:0.0122;IGF1:0.0113
Cerebrovascular cells,TEK,0.026752015806881812,0.1037919877883347,20,TGFB1:0.0268;IGF1:0.0062;IL1B:0.0058;THBS1:0.0056;IL6:0.0054
Microglia,CDKN1A,0.21290306745100995,0.6971390827313996,20,FGF2:0.2129;CSF1:0.0951;LGALS1:0.0766;SDC2:0.0274;PSEN1:0.0249
Microglia,JUNB,0.17418110776041135,0.46966872526941267,20,FGF2:0.1742;CSF1:0.1426;SDC2:0.0131;SEMA3C:0.01;BGN:0.0096
Microglia,GPNMB,0.1484018717916914,0.24204614117720635,20,CSF1:0.1484;FGF2:0.0081;SDC2:0.007;SEMA3C:0.0062;PSEN1:0.0059
Microglia,COLEC12,0.144404281615489,0.29158556033796734,20,CSF1:0.1444;FGF2:0.0821;SDC2:0.0056;PSEN1:0.0047;SEMA3C:0.0045
Microglia,CD44,0.1022985424047815,0.23652392718577084,20,FGF2:0.1023;CSF1:0.0102;SDC2:0.0094;PSEN1:0.0091;SEMA3C:0.0083
Microglia,NFKB1,0.07009287334226201,0.21052277457495522,20,FGF2:0.0701;CSF1:0.0127;SDC2:0.0118;PSEN1:0.0097;SERPING1:0.0081
Microglia,TGM2,0.06996007592073496,0.18338218597163447,20,CSF1:0.07;FGF2:0.0088;SDC2:0.0083;SEMA3C:0.0082;PSEN1:0.0067
Microglia,NAMPT,0.06937745433378868,0.16852576810470946,20,CSF1:0.0694;FGF2:0.01;SDC2:0.0087;LGALS1:0.0059;PSEN1:0.0058
Microglia,FLT1,0.06923106554865473,0.16586415724314935,20,FGF2:0.0692;CSF1:0.0088;SDC2:0.0077;PSEN1:0.0066;MFGE8:0.0058
Microglia,SMAD3,0.06776563124794882,0.20502600012773234,20,CSF1:0.0678;FGF2:0.0112;PSEN1:0.0102;SDC2:0.0101;SEMA3C:0.0086
Microglia,ANXA2,0.06734788374806909,0.17842778554116756,20,FGF2:0.0673;SDC2:0.0088;CSF1:0.0079;PSEN1:0.0073;SEMA3C:0.007
Microglia,ANGPT2,0.04331895120337683,0.13402748724002558,20,FGF2:0.0433;CSF1:0.0072;SDC2:0.0067;BGN:0.0062;PSEN1:0.0061
Microglia,STAT3,0.025299829053753362,0.1858929015654332,20,FBN1:0.0253;FGF2:0.0147;SDC2:0.0142;CSF1:0.0122;PSEN1:0.0098
Microglia,PTGER4,0.024845997166446494,0.14590261612706013,20,FBN1:0.0248;FGF2:0.0113;SDC2:0.0106;CSF1:0.0087;PSEN1:0.0072
Microglia,PTPRG,0.009164694864501437,0.10707787133823601,20,SEMA3C:0.0092;FGF2:0.0077;PSEN1:0.0069;CSF1:0.0069;SDC2:0.0061
Microglia,ITGB1,0.00819521878898375,0.11513516307515376,20,CSF1:0.0082;FGF2:0.0081;SEMA3C:0.0067;SDC2:0.0067;PSEN1:0.0067
Microglia,TEK,0.004723532123944096,0.057135495550898016,20,SDC2:0.0047;FGF2:0.0046;CSF1:0.0036;MFGE8:0.003;PSEN1:0.003
