"avg.exp","pct.exp","features.plot","id","avg.exp.scaled","feature.groups"
3.43206847513067,61.7616580310881,"NR2F2","Pericyte",1.19536803581661,"Venous"
0.0519278903474997,1.6580310880829,"ACKR1","Pericyte",-0.504757453403583,"Venous"
0.994658041218543,26.839378238342,"MFSD2A","Pericyte",0.259913677079223,"Capillary"
1.55215865540568,31.7098445595855,"RGCC","Pericyte",0.385269291835473,"Capillary"
1.08263827037075,29.0155440414508,"CA4","Pericyte",1.19454187713108,"Capillary"
0.160888067512955,6.63212435233161,"GJA5","Pericyte",1.06267763393927,"Arterial"
0.554511837083066,21.8652849740933,"EFNB2","Pericyte",-0.453902453442981,"Arterial"
0.0394622601568399,2.90155440414508,"BMX","Pericyte",-0.542531886941402,"Arterial"
0.727361400233246,21.2435233160622,"ACTA2","Pericyte",-0.32903747403295,"SMC"
1.51516102866548,26.3212435233161,"TAGLN","Pericyte",0.0501752061723601,"SMC"
0.00387963113983559,0.310880829015544,"CNN1","Pericyte",-0.440113459501857,"SMC"
9.90751203621579,80.7253886010363,"PDGFRB","Pericyte",1.51425657832918,"Pericyte"
12.3053632244005,77.0984455958549,"RGS5","Pericyte",1.60724592470374,"Pericyte"
5.24742146727315,68.4974093264249,"NOTCH3","Pericyte",1.43926685377044,"Pericyte"
1.81454554027292,16.7173252279635,"NR2F2","SMC",0.352699300727173,"Venous"
0.0265691755053457,0.303951367781155,"ACKR1","SMC",-0.644727022067885,"Venous"
0.120075967104217,1.51975683890578,"MFSD2A","SMC",-0.600988938622599,"Capillary"
0.181920485608824,1.82370820668693,"RGCC","SMC",-0.772837828264826,"Capillary"
0.188746019525751,1.82370820668693,"CA4","SMC",-0.398042220237434,"Capillary"
0.164909342002614,4.86322188449848,"GJA5","SMC",1.10789143567042,"Arterial"
0.520693483249014,3.95136778115502,"EFNB2","SMC",-0.531094831932546,"Arterial"
0.0676541615499918,0.911854103343465,"BMX","SMC",0.0834974432488828,"Arterial"
6.87250640809815,27.355623100304,"ACTA2","SMC",1.73914508180527,"SMC"
15.7033008591948,38.2978723404255,"TAGLN","SMC",1.71230532539936,"SMC"
0.862731177729685,9.72644376899696,"CNN1","SMC",1.78881212095891,"SMC"
2.332834519855,17.3252279635258,"PDGFRB","SMC",0.187046328848859,"Pericyte"
1.26128124204112,8.51063829787234,"RGS5","SMC",-0.19972009573733,"Pericyte"
2.36024816463792,19.7568389057751,"NOTCH3","SMC",0.660995256631594,"Pericyte"
0.328592526582879,8.57142857142857,"NR2F2","Arterial",-1.04043672325482,"Venous"
0,0,"ACKR1","Arterial",-0.795136699327006,"Venous"
0,0,"MFSD2A","Arterial",-0.770157874697673,"Capillary"
0,0,"RGCC","Arterial",-1.024288921642,"Capillary"
0,0,"CA4","Arterial",-0.889103841621275,"Capillary"
0,0,"GJA5","Arterial",-0.88795172645519,"Arterial"
1.01221658069111,20,"EFNB2","Arterial",0.451819838041359,"Arterial"
0.143719459614832,2.85714285714286,"BMX","Arterial",1.69350808116952,"Arterial"
0.432245515452777,2.85714285714286,"ACTA2","Arterial",-0.584497603431198,"SMC"
0.0687970830036806,2.85714285714286,"TAGLN","Arterial",-0.701147296405669,"SMC"
0,0,"CNN1","Arterial",-0.454075079736084,"SMC"
0.281511885816842,8.57142857142857,"PDGFRB","Arterial",-0.882870923272679,"Pericyte"
0.22814555686528,2.85714285714286,"RGS5","Arterial",-0.822108799613656,"Pericyte"
0.242530452528646,5.71428571428571,"NOTCH3","Arterial",-0.587525384990653,"Pericyte"
0.329093633710628,8.56777493606138,"NR2F2","Capillary",-1.03973688903779,"Venous"
0.218261519763544,1.79028132992327,"ACKR1","Capillary",0.337279543711191,"Venous"
4.03766459101696,51.53452685422,"MFSD2A","Capillary",1.64205443625233,"Capillary"
4.29504167319695,49.7442455242967,"RGCC","Capillary",1.48324807396964,"Capillary"
0.90830690120494,13.2992327365729,"CA4","Capillary",0.946257281800594,"Capillary"
0.0289922157772176,0.383631713554987,"GJA5","Capillary",-0.514263561285188,"Arterial"
1.73173984615729,28.772378516624,"EFNB2","Capillary",1.52468859669632,"Arterial"
0.0443929611015079,1.27877237851662,"BMX","Capillary",-0.431824943682717,"Arterial"
0.299939003444313,7.28900255754476,"ACTA2","Capillary",-0.716659685418726,"SMC"
0.194250259684087,3.19693094629156,"TAGLN","Capillary",-0.60371205550883,"SMC"
0,0,"CNN1","Capillary",-0.454075079736084,"SMC"
0.220733762543755,3.45268542199488,"PDGFRB","Capillary",-0.937261521500556,"Pericyte"
2.41935648797799,18.0306905370844,"RGS5","Capillary",0.221904443454099,"Pericyte"
0.115364539636296,2.81329923273657,"NOTCH3","Capillary",-0.723022327441407,"Pericyte"
2.10021939207848,34.4186046511628,"NR2F2","Venous",0.532106275748823,"Venous"
0.520207475029789,3.25581395348837,"ACKR1","Venous",1.60734163108728,"Venous"
0.174016699950194,4.34108527131783,"MFSD2A","Venous",-0.530821300011276,"Capillary"
0.883997194707234,12.2480620155039,"RGCC","Venous",-0.071390615898287,"Capillary"
0.0125601565090775,0.62015503875969,"CA4","Venous",-0.853653097072962,"Capillary"
0.00918888249448658,0.310077519379845,"GJA5","Venous",-0.768353781869317,"Arterial"
0.333725355938434,5.58139534883721,"EFNB2","Venous",-0.991511149362154,"Arterial"
0.0279685038420375,1.08527131782946,"BMX","Venous",-0.80264869379428,"Arterial"
1.02993636620311,19.0697674418605,"ACTA2","Venous",-0.108950318922391,"SMC"
0.410473099463423,7.90697674418605,"TAGLN","Venous",-0.457621179657223,"SMC"
