"logFC","logCPM","F","PValue","FDR","gene"
-0.894788933607039,8.97426576352055,16.3113302838677,0.000215159993343214,0.470260969333153,"ADGRL3"
-0.544906742163654,8.97281317354233,15.2411850725503,0.000325415952583549,0.470260969333153,"MGAT5"
-0.738530197243868,7.10825109991232,14.7139284691067,0.000401957278206217,0.470260969333153,"GUCY1B1"
-0.528460103064241,6.16834355965427,14.003405289314,0.000526874383141988,0.470260969333153,"CNOT10"
-0.4161402705925,10.4404674733554,13.7422377566282,0.00058975032071752,0.470260969333153,"PTPRK"
1.33194452511826,8.860313685638,13.6292257076053,0.000618323460433977,0.470260969333153,"ATP1B3"
-0.975567931508428,6.52082376236404,13.4498687126759,0.000660887066197124,0.470260969333153,"DOK6"
-0.801465472832254,8.48949929271369,13.3731142324816,0.000686512363990004,0.470260969333153,"DMD"
-0.545799515431593,7.20068451368257,12.1169729307847,0.00115472635401826,0.666974311141004,"NT5DC1"
-0.930168837663764,6.29977105110456,11.9495511468012,0.00121710640719161,0.666974311141004,"RGS7BP"
-0.797683814870169,7.12549369710475,11.7196029988879,0.00136124882567251,0.678149414971398,"CYSLTR2"
0.810745412414135,6.4991729617899,11.4542824981361,0.0015272468032361,0.697442706811152,"VWA1"
-0.43231809757963,9.0190928568782,11.1710868400771,0.0017168379962005,0.723713247629134,"ATXN1"
0.410324598782506,6.94615707183226,10.3158965239902,0.00249872962374127,0.749224770707052,"PITPNA"
0.871222491293338,6.22312642577385,10.040887667013,0.00279178488452073,0.749224770707052,"SERPINB1"
-0.484564153503936,7.05778356443086,10.0337628403572,0.00282290069438339,0.749224770707052,"DOPEY1"
-0.248511725535437,8.81496555762883,9.79961078668586,0.00311784029068108,0.749224770707052,"SRPK2"
0.850724658935741,5.98646830644265,9.74118668852337,0.00316080937124047,0.749224770707052,"XBP1"
0.41366881865135,6.82676464813739,9.58979566755161,0.00343861878315714,0.749224770707052,"ZZEF1"
0.856103616530785,7.80404312093072,9.48218523818528,0.0035980767882942,0.749224770707052,"JUNB"
-0.575786747016593,6.01551761178604,9.36719188206741,0.00373453858914314,0.749224770707052,"PLEKHA8"
-0.770786938261849,7.93162397874262,9.28414122670855,0.00392990110757227,0.749224770707052,"DGKB"
-0.372978492367636,10.318636265048,9.18646768068124,0.00409677847398027,0.749224770707052,"EPS8"
0.372986023772538,8.3073495467577,9.13785305629492,0.00419181497493479,0.749224770707052,"RASSF8"
0.667945836048813,6.14281004386566,8.99405221763071,0.00445454997545844,0.749224770707052,"SLFN5"
1.60089622930071,5.36660052137088,8.70653477300878,0.00450232335883723,0.749224770707052,"ADAM12"
1.52076238144571,5.5122254294208,8.70715782458859,0.00469926756993138,0.749224770707052,"NR4A3"
0.596785806178244,6.33581741609468,8.82267918664965,0.00483410231808712,0.749224770707052,"GRAMD1A"
1.01864290428717,6.55997002329551,8.78891334541564,0.00491299144978526,0.749224770707052,"RAMP3"
-0.309386155976676,7.37760616113401,8.70398462588941,0.00511299018419838,0.749224770707052,"LNPEP"
-1.15617317987171,6.0885709579227,8.57652246847355,0.00529366458897331,0.749224770707052,"DLGAP1"
0.868699208956224,6.07324734549397,8.53790242729442,0.0054344632935135,0.749224770707052,"LITAF"
-0.444471582651595,8.14476773545225,8.54065197549189,0.00549966577033543,0.749224770707052,"ZSWIM5"
