dataset,donor_id,Cooks_distance,hat
DLPFC_Endothelial,H19.33.004,0.008803558317480272,0.07876352249498858
DLPFC_Endothelial,H20.33.001,0.0031104264732190754,0.061571530887268876
DLPFC_Endothelial,H20.33.002,0.0014387088689619242,0.11283468425256264
DLPFC_Endothelial,H20.33.004,0.00921093760617997,0.06561663092588409
DLPFC_Endothelial,H20.33.005,4.4126003674064534e-07,0.08614642916751439
DLPFC_Endothelial,H20.33.008,0.003421743659159708,0.0666216990712909
DLPFC_Endothelial,H20.33.011,0.00527525150419617,0.06483400773613202
DLPFC_Endothelial,H20.33.012,0.0012846711108850453,0.04816118229277045
DLPFC_Endothelial,H20.33.013,0.00015902973162230274,0.07009332581216188
DLPFC_Endothelial,H20.33.014,0.005381477251429769,0.06560317649208708
DLPFC_Endothelial,H20.33.015,0.0008097139675063747,0.10508712459611971
DLPFC_Endothelial,H20.33.016,0.0028281371101321557,0.10676882679604749
DLPFC_Endothelial,H20.33.017,0.0021548782482472264,0.15231846869346158
DLPFC_Endothelial,H20.33.018,0.03561805307743473,0.08584940078178695
DLPFC_Endothelial,H20.33.019,0.016611308295175608,0.12391608181786772
DLPFC_Endothelial,H20.33.020,0.01593083296171284,0.15577474412077746
DLPFC_Endothelial,H20.33.024,0.00019666400981478788,0.08229383768670215
DLPFC_Endothelial,H20.33.025,8.513414650380396e-05,0.07244258457796096
DLPFC_Endothelial,H20.33.026,0.049485854193119475,0.17271668961488665
DLPFC_Endothelial,H20.33.027,0.002273753723092578,0.08074021576970432
DLPFC_Endothelial,H20.33.028,0.004785069055360698,0.050448627090349474
DLPFC_Endothelial,H20.33.029,0.004637559288739333,0.069496903523478
DLPFC_Endothelial,H20.33.030,0.004279848058066543,0.06299243163330973
DLPFC_Endothelial,H20.33.031,0.00774799843967627,0.0648127037234908
DLPFC_Endothelial,H20.33.032,0.00012914734735638712,0.07294109749309535
DLPFC_Endothelial,H20.33.033,0.03718233849765218,0.15104375096214778
DLPFC_Endothelial,H20.33.034,3.188350698174333e-05,0.26899901607448906
