metric,receiver_context,target_clean,max_regulatory_potential,sum_regulatory_potential,n_supporting_top_ligands,best_ligand,top_ligands,logFC,PValue,FDR,direction,rank_in_receiver
auroc,Astrocytes,GEM,0.1863850217231384,0.6305804868196719,20,BMP2,TGFB1;MELTF;S100A4;BMP2;LAMA4;TGFB3;COL7A1;CXCL1;BMP1;C1QB;COL15A1;COL3A1;COL13A1;A2M;FGL1;SEMA4C;FGF1;EFNA1;COL6A3;IL1B,0.813117901960231,7.3646741299822e-05,0.0666761155218928,AD-enriched_nominal,17
auroc,Cerebrovascular cells,GEM,0.179689212542151,0.8046783338293799,20,TGFB1,JAM2;TGFB1;IGFBP4;ANGPTL2;TIMP1;LPL;LGALS9;LTBP1;VEGFA;IL1B;VEGFD;IGF1;ANGPT1;FGF13;HGF;KL;HLA-A;FGF20;LGALS1;FGF11,0.971925701436794,0.0333408322781704,0.908262525040509,AD-enriched_nominal,12
auroc,Cerebrovascular cells,JUNB,0.2887500151491018,1.018874400108898,20,TGFB1,JAM2;TGFB1;IGFBP4;ANGPTL2;TIMP1;LPL;LGALS9;LTBP1;VEGFA;IL1B;VEGFD;IGF1;ANGPT1;FGF13;HGF;KL;HLA-A;FGF20;LGALS1;FGF11,0.598591275538839,0.0369158852380014,0.908262525040509,AD-enriched_nominal,1
auroc,Astrocytes,NAMPT,0.2437762978761511,0.5105744152843179,20,IL1B,TGFB1;MELTF;S100A4;BMP2;LAMA4;TGFB3;COL7A1;CXCL1;BMP1;C1QB;COL15A1;COL3A1;COL13A1;A2M;FGL1;SEMA4C;FGF1;EFNA1;COL6A3;IL1B,0.935919200015355,0.0207693436154748,0.446819406989067,AD-enriched_nominal,2
auroc,Cerebrovascular cells,NAMPT,0.2437762978761511,0.4270396541431048,20,IL1B,JAM2;TGFB1;IGFBP4;ANGPTL2;TIMP1;LPL;LGALS9;LTBP1;VEGFA;IL1B;VEGFD;IGF1;ANGPT1;FGF13;HGF;KL;HLA-A;FGF20;LGALS1;FGF11,0.61907896969327,0.0113745565149654,0.908262525040509,AD-enriched_nominal,2
auroc,Astrocytes,NFKB1,0.2804316984569951,0.5070507366301678,20,IL1B,TGFB1;MELTF;S100A4;BMP2;LAMA4;TGFB3;COL7A1;CXCL1;BMP1;C1QB;COL15A1;COL3A1;COL13A1;A2M;FGL1;SEMA4C;FGF1;EFNA1;COL6A3;IL1B,0.217881225586701,0.0077100747856691,0.330642671451494,AD-enriched_nominal,1
auroc,Cerebrovascular cells,PLAT,0.1950577514713471,0.6058344311184577,20,VEGFA,JAM2;TGFB1;IGFBP4;ANGPTL2;TIMP1;LPL;LGALS9;LTBP1;VEGFA;IL1B;VEGFD;IGF1;ANGPT1;FGF13;HGF;KL;HLA-A;FGF20;LGALS1;FGF11,0.535674920766635,0.0323490125970486,0.908262525040509,AD-enriched_nominal,6
auroc,Astrocytes,STAT3,0.0702842767981027,0.2523678425260966,20,TGFB1,TGFB1;MELTF;S100A4;BMP2;LAMA4;TGFB3;COL7A1;CXCL1;BMP1;C1QB;COL15A1;COL3A1;COL13A1;A2M;FGL1;SEMA4C;FGF1;EFNA1;COL6A3;IL1B,0.341458686314213,0.0123517479022766,0.38259660752822,AD-enriched_nominal,110
pearson,Astrocytes,COLEC12,0.144404281615489,0.5555443054338463,20,CSF1,BMP2;EGF;IL1B;TGFB1;PDGFB;ICAM1;FGF2;LAMA4;S100A4;CSF1;FN1;FGF1;COL7A1;EFEMP2;IL6;CALM1;LPL;BMP1;TGFB3;DCN,0.545958439312536,0.0281255029266765,0.477256488945378,AD-enriched_nominal,44
pearson,Microglia,COLEC12,0.144404281615489,0.2915855603379673,20,CSF1,CSF1;MFGE8;FGF2;FBN1;BGN;SEMA3E;SEMA3D;SEMA3F;C3;SEMA3G;HSPG2;LGALS1;LAMA1;PSEN1;EFNB2;COL6A2;LGALS3BP;SERPING1;SEMA3C;SDC2,0.89166426457444,0.0105710978199771,0.420603940398569,AD-enriched_nominal,14
pearson,Microglia,FLT1,0.0692310655486547,0.1658641572431493,20,FGF2,CSF1;MFGE8;FGF2;FBN1;BGN;SEMA3E;SEMA3D;SEMA3F;C3;SEMA3G;HSPG2;LGALS1;LAMA1;PSEN1;EFNB2;COL6A2;LGALS3BP;SERPING1;SEMA3C;SDC2,0.829464934934819,0.0434180501612333,0.583687437307097,AD-enriched_nominal,64
pearson,Astrocytes,GEM,0.2258181247509402,1.1782086176994666,20,EGF,BMP2;EGF;IL1B;TGFB1;PDGFB;ICAM1;FGF2;LAMA4;S100A4;CSF1;FN1;FGF1;COL7A1;EFEMP2;IL6;CALM1;LPL;BMP1;TGFB3;DCN,0.813117901960231,7.3646741299822e-05,0.0666761155218928,AD-enriched_nominal,5
pearson,Cerebrovascular cells,GEM,0.2258181247509402,1.3907474236254411,20,EGF,IL6;PDGFB;VEGFA;EGF;B2M;FGF2;IL1B;LRIG1;SELPLG;CSF1;THBS1;IGF1;ICAM1;HGF;LGALS1;TIMP1;TNFSF10;JAM2;TGFB1;CD59,0.971925701436794,0.0333408322781704,0.908262525040509,AD-enriched_nominal,4
pearson,Cerebrovascular cells,JUNB,0.2887500151491018,1.972072023744757,20,TGFB1,IL6;PDGFB;VEGFA;EGF;B2M;FGF2;IL1B;LRIG1;SELPLG;CSF1;THBS1;IGF1;ICAM1;HGF;LGALS1;TIMP1;TNFSF10;JAM2;TGFB1;CD59,0.598591275538839,0.0369158852380014,0.908262525040509,AD-enriched_nominal,1
pearson,Astrocytes,NAMPT,0.2437762978761511,0.8004553233528726,20,IL1B,BMP2;EGF;IL1B;TGFB1;PDGFB;ICAM1;FGF2;LAMA4;S100A4;CSF1;FN1;FGF1;COL7A1;EFEMP2;IL6;CALM1;LPL;BMP1;TGFB3;DCN,0.935919200015355,0.0207693436154748,0.446819406989067,AD-enriched_nominal,2
pearson,Cerebrovascular cells,NAMPT,0.2437762978761511,0.7016027672311759,20,IL1B,IL6;PDGFB;VEGFA;EGF;B2M;FGF2;IL1B;LRIG1;SELPLG;CSF1;THBS1;IGF1;ICAM1;HGF;LGALS1;TIMP1;TNFSF10;JAM2;TGFB1;CD59,0.61907896969327,0.0113745565149654,0.908262525040509,AD-enriched_nominal,2
pearson,Astrocytes,NFKB1,0.2804316984569951,0.664500442447208,20,IL1B,BMP2;EGF;IL1B;TGFB1;PDGFB;ICAM1;FGF2;LAMA4;S100A4;CSF1;FN1;FGF1;COL7A1;EFEMP2;IL6;CALM1;LPL;BMP1;TGFB3;DCN,0.217881225586701,0.0077100747856691,0.330642671451494,AD-enriched_nominal,1
pearson,Cerebrovascular cells,PLAT,0.1950577514713471,0.9589327436048758,20,VEGFA,IL6;PDGFB;VEGFA;EGF;B2M;FGF2;IL1B;LRIG1;SELPLG;CSF1;THBS1;IGF1;ICAM1;HGF;LGALS1;TIMP1;TNFSF10;JAM2;TGFB1;CD59,0.535674920766635,0.0323490125970486,0.908262525040509,AD-enriched_nominal,8
pearson,Astrocytes,STAT3,0.2437411768900769,0.6153635852695839,20,IL6,BMP2;EGF;IL1B;TGFB1;PDGFB;ICAM1;FGF2;LAMA4;S100A4;CSF1;FN1;FGF1;COL7A1;EFEMP2;IL6;CALM1;LPL;BMP1;TGFB3;DCN,0.341458686314213,0.0123517479022766,0.38259660752822,AD-enriched_nominal,3
