"","D1_NC1","D1_NC10","D1_NC11","D1_NC12","D1_NC13","D1_NC14","D1_NC15","D1_NC16","D1_NC17","D1_NC18","D1_NC19","D1_NC2","D1_NC20","D1_NC21","D1_NC22","D1_NC23","D1_NC25","D1_NC26","D1_NC27","D1_NC3","D1_NC4","D1_NC6","D1_NC7","D1_NC8","D1_NC9","D1_UC1","D1_UC10","D1_UC11","D1_UC12","D1_UC13","D1_UC14","D1_UC15","D1_UC16","D1_UC17","D1_UC18","D1_UC19","D1_UC2","D1_UC20","D1_UC21","D1_UC22","D1_UC23","D1_UC24","D1_UC25","D1_UC26","D1_UC27","D1_UC28","D1_UC29","D1_UC3","D1_UC4","D1_UC5","D1_UC6","D1_UC7","D1_UC8","D1_UC9","D2_NC1","D2_NC2","D2_NC3","D2_NC4","D2_NC5","D2_NC6","D2_UC2","D2_UC3","D2_UC4","D2_UC5"
"31",0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,1,0,0,0,0,2,0,2,0,1,0,1,1,3,0,0,4,0,1,2,1,1,0,2,2,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,0,1
"32",2,2,0,0,1,0,2,0,1,1,0,1,0,1,0,0,0,4,1,0,0,0,0,2,0,1,0,1,0,2,0,2,0,0,4,0,2,2,1,1,1,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,1,2,1,2,1
"33",1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,2,0,2,1,0,1,0,0,1,0,4,0,0,1,1,1,2,0,0,2,0,0,3,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,3,1,3,0,1,0,2,0,2
"34",2,0,2,1,1,0,1,3,0,1,2,0,3,3,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,4,1,3,0,2,1,0,0,2,0,0,0,2,0,1,0,2,0,2,0,1,2,0,2,0,0,1,2,2,6,1,0,2,1,1
"35",1,1,1,1,0,0,3,1,0,2,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,2,0,1,0,0,3,0,0,0,1,1,1,1,1
"36",1,0,1,0,0,0,0,0,3,0,1,1,1,1,0,0,0,0,0,2,1,1,0,2,1,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,3,1,0,4,0,0
"37",1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,3,1,0,0,1,1,1,0,2,0,0,1,1,0,0,0,1,2,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,2,3,0,2,1,2,1,0
"38",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,3,0,1,2,0,0,11,2,1,11,1,0
"39",0,3,1,0,1,0,2,1,0,1,2,2,3,0,0,0,0,2,1,1,0,1,1,1,0,3,0,0,0,2,0,1,0,2,2,0,0,4,1,0,1,1,3,2,1,0,1,1,1,0,2,0,1,1,0,0,1,0,5,2,1,1,4,2
"40",0,3,1,0,0,0,2,3,1,4,2,1,2,2,3,2,1,2,0,0,1,0,0,1,0,1,0,0,0,2,1,3,0,1,1,0,1,1,0,1,0,3,1,1,0,0,0,0,0,1,1,0,2,1,0,1,0,1,5,2,1,0,2,3
"41",0,1,0,0,1,0,0,0,2,1,0,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,1,1,2,2,1,5,1,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"42",1,1,1,0,1,0,2,1,1,2,0,3,2,0,2,0,0,1,0,0,0,1,0,1,1,2,2,0,0,2,0,0,0,0,3,1,0,2,1,1,1,2,0,1,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"43",3,1,3,0,0,0,0,2,1,1,4,0,1,1,0,1,0,1,0,1,2,0,0,1,1,4,1,0,0,1,0,3,0,0,1,0,1,1,0,0,0,2,0,3,1,1,0,1,0,1,1,0,2,0,0,1,1,0,1,2,0,2,1,1
"44",1,0,2,0,0,0,1,1,0,1,2,1,4,1,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,3,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,0,2,0
"45",1,1,1,0,0,0,0,1,1,1,0,1,1,2,0,2,0,1,1,0,1,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,2,1,1,1,4,0,0,1,0,0,0,2,0,0,0,0,1,2,1,0,0,1,1
"46",1,2,1,0,1,0,0,1,2,2,1,4,4,0,2,0,0,1,1,2,0,1,0,1,1,3,2,0,0,6,0,0,0,1,2,3,1,1,1,0,0,7,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"47",0,1,2,0,0,0,1,1,2,2,2,0,3,0,0,2,0,0,2,2,0,1,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,2,3,0,1,1,1,1,0,4,0,0,2,1,0,0,0,0,0,0,0
"48",1,1,0,0,0,0,2,0,0,0,2,0,1,2,2,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,0,2,2,0,0,2,0,1,0,2,3
"49",0,2,0,0,1,0,0,1,1,2,1,3,3,0,1,0,0,0,0,0,0,1,1,1,1,4,2,0,0,4,0,2,0,2,2,3,1,1,1,0,1,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",1,4,2,0,0,0,1,3,4,1,1,2,3,4,1,2,0,1,2,2,2,1,0,2,1,4,0,2,0,0,0,1,0,1,0,2,0,0,0,1,1,3,2,0,4,6,0,0,2,2,2,0,2,0,0,1,0,0,2,0,1,0,1,0
"51",3,1,0,0,0,0,4,0,0,0,2,1,5,1,2,0,0,1,0,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,2,0,1,0,0,0,0,3,0,0,0,0,3,1,1,3,1,0,1,1,3
"52",1,4,1,0,0,0,3,2,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,1,1,0,2,3,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,2,3,0,0,4,1,3
"53",1,0,0,1,1,1,0,0,1,2,1,1,1,0,1,1,0,2,2,0,1,1,0,1,0,3,1,0,1,1,1,4,0,2,1,1,1,6,0,0,2,2,0,0,2,0,1,0,1,1,2,0,0,0,0,0,2,1,1,3,1,0,3,2
"54",2,2,4,0,0,0,1,1,0,1,3,1,1,0,1,1,0,1,0,0,0,0,0,1,1,5,1,1,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,4,1,2,0,1,0,2,0,0,2,1,0,1,0,0,0,1,0,2,2,0
"55",0,1,3,1,1,0,2,0,1,0,2,1,3,1,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,1,0,1,0,2,1,0,0,4,1,0,1,2,0,2,1,1,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,2,1,3
"56",0,0,0,0,0,0,0,0,3,2,1,2,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,1,1,1,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"57",1,1,1,0,0,0,2,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,1,0,1,0,0,1,0,2,0,0,2,1,0,1,3,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,2,0,2,1,1
"58",1,2,1,0,1,0,2,0,1,0,0,1,0,1,1,3,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,3,1,0,0,3,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,2,1,1,1,1,1,2,1,1
"59",1,2,1,0,1,0,1,0,1,0,0,1,1,1,0,2,0,1,1,1,0,0,0,1,0,1,0,1,0,2,2,1,0,3,0,0,0,2,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,2,1,2,1,2,1,0,1,1
"60",1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,3,0,1,2,1,1,5,0,0,3,0,2,1,0,1,1,0,1,0,1,0,1,2,1,2,1,1,0,2,0,0,2,3
