"logFC","logCPM","F","PValue","FDR","gene","model","n_AD","n_CN","n_genes","n_FDR05"
0.971925701436794,5.92319933907285,4.74467287646627,0.0333408322781704,0.908262525040509,"GEM","cohort_adjusted",27,25,5480,0
0.442489234355356,5.57408062983995,0.853260113145308,0.36011811317191,0.958117100375725,"GEM","D1_diagnosis_only",23,19,5480,0
0.256428544631737,5.57467362170541,0.268833754303019,0.606451824214191,0.9569378112447,"GEM","D1_APOE_sex_adjusted",23,19,5480,0
