"logFC","logCPM","F","PValue","FDR","Nhood","Subtype","model","compartment"
-0.115003923529027,14.3756699388508,0.0571554382256794,0.848962584798645,0.968055723352165,1,"Pericyte","diagnosis_only","Cerebrovascular"
0.225344452083842,14.6347364074805,0.284152340635335,0.594692207112115,0.9233569293266,2,"Venous","diagnosis_only","Cerebrovascular"
0.772757671141479,14.289246349236,2.8195074060721,0.12397991609754,0.569180523902343,3,"Pericyte","diagnosis_only","Cerebrovascular"
0.609031266678299,14.4243366403421,1.77516236622633,0.184536912903158,0.703329366159204,4,"Pericyte","diagnosis_only","Cerebrovascular"
0.4388427579926,14.4869341726303,1.0282697933761,0.312013872422759,0.831348721464687,5,"Venous","diagnosis_only","Cerebrovascular"
1.1265573771816,14.380287990968,5.79963177477936,0.0171044708785598,0.132888581441118,6,"Pericyte","diagnosis_only","Cerebrovascular"
0.338928960543527,14.4675142275544,0.69145983080551,0.406840764365277,0.861410911511745,7,"Venous","diagnosis_only","Cerebrovascular"
0.465420188657591,14.4475398938006,1.1126030119514,0.29302131643271,0.822087582213992,8,"Capillary","diagnosis_only","Cerebrovascular"
-0.0155430555433904,14.6059754401379,0.001216427625326,0.9947567671668,0.996292457218056,9,"Venous","diagnosis_only","Cerebrovascular"
-0.0504281546331359,14.515922116281,0.0171429022461602,0.895985577398297,0.974086277848796,10,"Venous","diagnosis_only","Cerebrovascular"
-2.44665502152413,14.797688684088,16.0808896045238,0.000158488368913978,0.00408593641906548,11,"SMC","diagnosis_only","Cerebrovascular"
0.845217336814393,14.4467282424935,3.75247628387937,0.0543956106586066,0.282811331769109,12,"Capillary","diagnosis_only","Cerebrovascular"
-0.177231073940617,15.0220260965543,0.202664687263973,0.653155046673302,0.9233569293266,13,"Venous","diagnosis_only","Cerebrovascular"
-3.2148218060432,14.4074809479216,14.7459630817114,0.000553136668122578,0.00615864547166927,14,"SMC","diagnosis_only","Cerebrovascular"
0.0510006250531507,14.3180606149135,0.00134037764770633,0.970838215134277,0.996292457218056,15,"Pericyte","diagnosis_only","Cerebrovascular"
0.409923393997011,14.5971309409547,1.02093235914516,0.31374132733499,0.831348721464687,16,"Capillary","diagnosis_only","Cerebrovascular"
-0.0454358291964059,14.5780729444856,0.009858676344461,0.921024919882256,0.982783038795893,17,"Capillary","diagnosis_only","Cerebrovascular"
0.311737732904102,14.6178633643087,0.580234297141582,0.447281399043148,0.861410911511745,18,"Pericyte","diagnosis_only","Cerebrovascular"
-0.698920827780565,14.5181126244847,3.01954273131582,0.0840869423537805,0.404418151320564,19,"Pericyte","diagnosis_only","Cerebrovascular"
0.304715531569924,14.3779954362802,0.405941974289269,0.524897931517211,0.914046397986868,20,"Venous","diagnosis_only","Cerebrovascular"
0.480284718266779,14.4834871807693,1.33737236263244,0.249128788850493,0.760759996476637,21,"Capillary","diagnosis_only","Cerebrovascular"
-0.387770494395483,14.7485522446216,0.927710949853912,0.336833560570825,0.831348721464687,22,"Venous","diagnosis_only","Cerebrovascular"
0.214035861146622,14.4376249878564,0.229732307169403,0.632341563608915,0.9233569293266,23,"Pericyte","diagnosis_only","Cerebrovascular"
1.20666235804431,14.3423971667079,6.82272830123875,0.00981029397267777,0.0900763355673141,24,"Pericyte","diagnosis_only","Cerebrovascular"
-0.661156619538131,14.5361873558712,2.55955860526591,0.111495568453947,0.523769879713892,25,"Capillary","diagnosis_only","Cerebrovascular"
0.499874157272348,14.6892471595124,1.65621825287571,0.199873306530431,0.723285451428155,26,"Capillary","diagnosis_only","Cerebrovascular"
0.25111330199123,14.6627739114791,0.406146992327165,0.524793414526576,0.914046397986868,27,"Capillary","diagnosis_only","Cerebrovascular"
-2.97946403808312,14.5057062107171,24.5919876051556,4.4725280631556e-06,0.000851588407963181,28,"SMC","diagnosis_only","Cerebrovascular"
0.0881843176190924,14.7093949576111,0.0466749460657789,0.829213912623026,0.968055723352165,29,"Pericyte","diagnosis_only","Cerebrovascular"
