trajectory,model,n,AD_minus_CN,p_value
astro,cohort_adjusted,66,0.07591067254138592,0.06951143572597383
astro,APOE_sex_adjusted,56,0.06832169612669296,0.13310438619031187
endo,cohort_adjusted,61,0.023346026484473738,0.4757831983576639
endo,APOE_sex_adjusted,51,0.020089943550090666,0.6082202080656758
micro,cohort_adjusted,66,0.08097751029191831,0.025399758538396468
micro,APOE_sex_adjusted,56,0.06737316503971047,0.09710997770046856
