ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,source_cellstates,target_cellstates,lr_pair_examples,aupr,AUPR_rank,input_top20,displayed_Fig8A
IL18,IL18,4,1.62212515210362,1.45686957753065,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;Cerebrovascular_Pericyte,IL18 - IL18BP;IL18 - IL1RL2,0.0393740910261323,12,True,True
COL27A1,COL27A1,21,1.58763944897809,0.6366347919816158,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL27A1 - ITGA1/ITGB1;COL27A1 - ITGA10/ITGB1;COL27A1 - ITGA11/ITGB1;COL27A1 - ITGA2/ITGB1,0.0336868622399901,61,False,False
SERPINA1,SERPINA1,2,1.58421717236742,0.9798013517336326,Microglia,Micro_DAM,Cerebrovascular_Pericyte;Cerebrovascular_Venous,SERPINA1 - LRP1,0.0312032304318877,144,False,False
LAMA1,LAMA1,46,1.5277698558038404,0.5680859679961779,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LAMA1 - CD44;LAMA1 - DAG1;LAMA1 - ITGA1;LAMA1 - ITGA2/ITGB1;LAMA1 - ITGA3/ITGB1,0.0325633767856645,105,False,False
C1QA,C1QA,5,1.52582553668192,0.9382770756120934,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,C1QA - CD93,0.0334102803221951,74,False,False
WNT5A,WNT5A,46,1.5146031897920882,0.2678977138565945,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,WNT5A - ANTXR1;WNT5A - EPHA7;WNT5A - FZD1;WNT5A - FZD3;WNT5A - FZD4,0.0317111330491174,135,False,False
NCAN,NCAN,17,1.4581156076051442,0.5085233861522351,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NCAN - CDH2;NCAN - SDC3,0.0334883714566755,69,False,False
DKK3,DKK3,9,1.42855512543792,0.6494330593074376,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,DKK3 - KREMEN1,0.0344100153124185,47,False,False
COL9A2,COL9A2,54,1.41879895890197,0.3075163429052443,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL9A2 - ITGA1/ITGB1;COL9A2 - ITGA10/ITGB1;COL9A2 - ITGA11/ITGB1;COL9A2 - ITGA2/ITGB1;COL9A2 - ITGA3/ITGB1,0.0310130383762334,148,False,False
FGF2,FGF2,40,1.37157227760847,0.5771758849624715,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,FGF2 - CD44;FGF2 - FGFR1;FGF2 - FGFR2;FGF2 - FGFRL1;FGF2 - GPC4,0.0423482793197011,7,True,True
