"model","term","n_AD","n_CN","edgeR_logFC","unshrunk_logFC","approx_QL_SE","approx_QL_CI_low","approx_QL_CI_high","PValue","FDR","design_rank","design_columns","condition_number","df_approx"
"diagnosis_only","GroupAD",23,19,0.442489234355356,0.452833269768426,0.497213064846108,-0.546128442708827,1.45179498224568,0.360118113171912,0.958117100375618,2,2,2.71378600799802,49.4409276061536
"sex_adjusted","GroupAD",23,19,0.405998942478616,0.415907977556543,0.501336200330287,-0.591581480534294,1.42339743564738,0.405041259911817,0.952541037691453,3,3,2.84474860856446,48.9680172326729
"sex_APOE_dosage","GroupAD",23,19,0.256428544631742,0.262925441701623,0.509062780940011,-0.760107945510692,1.28595882891394,0.606451824214144,0.956937811244561,5,5,4.34830656774491,48.936782444119
"sex_APOE4_carrier","GroupAD",23,19,0.388605337559577,0.398152759847996,0.50821072754128,-0.623361098404992,1.41966661810098,0.428457312276018,0.925988175972453,4,4,3.01304607259813,48.5748224391881
"interaction","GroupAD:e4carriercarrier",23,19,-1.11785387357366,-1.14244548304243,1.02421322094642,-3.20154971201461,0.916658745929762,0.265655635621304,0.942642992760259,5,5,6.14887456784507,48.194309332497
"noncarrier","GroupAD",14,13,0.732366296235046,0.751355767652725,0.611272069355464,-0.486538946334724,1.98925048164018,0.226080084576118,0.995547349640404,3,3,2.76248781079229,37.5939218756967
"carrier","GroupAD",9,6,-0.263545841468957,-0.268852668581275,0.770988776378918,-1.88738405367565,1.3496787165131,0.730055607554426,0.958241959636502,3,3,3.00497989106589,18.1969822441709
