"logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR","SpatialFDR_BH","SigCat","Direction","NhoodSubtype","SubtypePurity","NhoodSize"
0.879566764716917,11.2638966912384,4.61613607176141,0.0316744334193163,0.334475131161585,1,0.334475131161585,0.334475131161585,"NS","NS","DAM",1,72
0.139640385308196,10.9358604143796,0.108984683215223,0.741303589507746,0.939586500658481,2,0.939586500658481,0.939586500658481,"NS","NS","DAM",1,38
-0.232137775095401,10.9656638996922,0.301075933641798,0.583209677103827,0.887205021242493,3,0.887205021242493,0.887205021242493,"NS","NS","Homeostatic",0.871794871794872,39
0.157000629750933,10.9867244547287,0.143303213509294,0.705019651973694,0.928527840315839,4,0.928527840315839,0.928527840315839,"NS","NS","DAM",1,41
-0.0881247170812548,11.2612329532942,0.0479626341667957,0.826647500869431,0.963471654878688,5,0.963471654878688,0.963471654878688,"NS","NS","DAM",0.708860759493671,79
0.224114362430734,11.0262741985513,0.271857012845483,0.602089712614817,0.894871922821894,6,0.894871922821894,0.894871922821894,"NS","NS","DAM",1,47
0.996562858695223,11.2676345139494,6.06522942757514,0.0137882293888396,0.255147901928719,7,0.255147901928719,0.255147901928719,"NS","NS","DAM",1,77
-0.753618558445392,10.9911752446875,3.06526160587928,0.079984753184497,0.487179860305573,8,0.487179860305573,0.487179860305573,"NS","NS","Homeostatic",0.954545454545455,44
1.34414588351341,11.0314037883741,9.16661318872251,0.00246520744057443,0.136854230201032,9,0.136854230201032,0.136854230201032,"NS","NS","DAM",1,44
0.138452450537014,10.9250341506807,0.0936675194948688,0.75956594828288,0.949701825941851,10,0.949701825941851,0.949701825941851,"NS","NS","DAM",1,33
1.14883593533906,10.9628568874356,6.45685006747365,0.0110537444936347,0.239258157599905,11,0.239258157599905,0.239258157599905,"NS","NS","DAM",1,35
0.0775442520723615,11.0499566643337,0.0389750091701105,0.843498503421044,0.967019783182377,12,0.967019783182377,0.967019783182377,"NS","NS","DAM",0.980769230769231,52
0.686787827452769,10.9800291630856,2.49842331332139,0.113962881318038,0.538761164841037,13,0.538761164841037,0.538761164841037,"NS","NS","DAM",0.948717948717949,39
-0.0301050420888249,11.0456208052571,0.0045547032512426,0.946192892186688,0.97998549547907,14,0.97998549547907,0.97998549547907,"NS","NS","DAM",0.816326530612245,49
0.636879866001353,11.1206709762551,2.27636420008278,0.131362034582531,0.562194786770611,15,0.562194786770611,0.562194786770611,"NS","NS","DAM",1,55
0.342281255905597,10.9548252115853,0.617377909691095,0.43202484034517,0.823772585663066,16,0.823772585663066,0.823772585663066,"NS","NS","DAM",1,35
-0.539377356104956,10.9044862145223,1.5255330028587,0.216786434941843,0.666902551781169,17,0.666902551781169,0.666902551781169,"NS","NS","Homeostatic",1,32
-0.932205505365476,10.9805868317016,4.64244586934415,0.0311924331866965,0.333316853059241,18,0.333316853059241,0.333316853059241,"NS","NS","Homeostatic",1,43
0.142802387662108,10.9845820122553,0.111776776613821,0.738130861742252,0.939586500658481,19,0.939586500658481,0.939586500658481,"NS","NS","DAM",1,42
0.386147554904023,10.9488564105657,0.815214449259882,0.366584823096804,0.782719023381418,20,0.782719023381418,0.782719023381418,"NS","NS","DAM",0.894736842105263,38
0.154754668686585,11.1796476686611,0.153875553701647,0.69485958735483,0.927933635439594,21,0.927933635439594,0.927933635439594,"NS","NS","DAM",1,71
0.238003853371576,10.8488149550015,0.322632860468235,0.570030697381963,0.883950594588768,22,0.883950594588768,0.883950594588768,"NS","NS","DAM",1,25
0.0859144165223164,10.9353635070841,0.0413288438414663,0.838904821331011,0.965063391264745,23,0.965063391264745,0.965063391264745,"NS","NS","DAM",1,37
0.989574596077177,11.1865349599967,5.62681557521868,0.0176892481072147,0.28414168238155,24,0.28414168238155,0.28414168238155,"NS","NS","DAM",1,65
0.312952090729058,11.182181649412,0.576439537722723,0.447712741455292,0.830062840312626,25,0.830062840312626,0.830062840312626,"NS","NS","DAM",1,66
-0.479658126873135,10.8801251116293,1.22533799316857,0.268317748197798,0.708386640304677,26,0.708386640304677,0.708386640304677,"NS","NS","Homeostatic",1,29
-0.236120804938224,11.0665218747195,0.308977137531219,0.57830953392836,0.886852555832722,27,0.886852555832722,0.886852555832722,"NS","NS","DAM",1,53
0.494387468072654,10.8906273244521,1.27250726338789,0.259299021888738,0.700215453395713,28,0.700215453395713,0.700215453395713,"NS","NS","DAM",1,30
-0.518627070706977,11.1873234873279,1.64395756642338,0.199785728215837,0.652486046176291,29,0.652486046176291,0.652486046176291,"NS","NS","DAM",1,75
0.671576151024521,10.9477351975827,2.49435136441478,0.114257984000487,0.538761164841037,30,0.538761164841037,0.538761164841037,"NS","NS","DAM",1,38
0.83478993474846,10.9894104284842,3.66173448724633,0.0556779379477719,0.430181411484643,31,0.430181411484643,0.430181411484643,"NS","NS","Homeostatic",0.878048780487805,41
0.369265125283647,11.143959402305,0.805768893120499,0.369375880824227,0.785226845121962,32,0.785226845121962,0.785226845121962,"NS","NS","DAM",1,59
1.02201027214329,10.9793105769077,5.42946221578538,0.0198013670689406,0.293190074192253,33,0.293190074192253,0.293190074192253,"NS","NS","DAM",1,40
0.518487350352201,11.2631756005006,1.69084472158076,0.193492063638557,0.647082753269736,34,0.647082753269736,0.647082753269736,"NS","NS","DAM",1,77
-0.0869231753935163,10.9132571002379,0.0427227601295993,0.836248519747934,0.963625550150857,35,0.963625550150857,0.963625550150857,"NS","NS","Homeostatic",0.96875,32
1.00076119510269,10.9155678463649,4.93206184584807,0.0263646392035161,0.322179207373785,36,0.322179207373785,0.322179207373785,"NS","NS","DAM",1,30
0.363092439217128,11.0076600492078,0.749715159962362,0.386568098283016,0.78978292505143,37,0.78978292505143,0.78978292505143,"NS","NS","DAM",1,45
0.699329951236751,10.9077874380807,2.52636858432588,0.111960149600201,0.538761164841037,38,0.538761164841037,0.538761164841037,"NS","NS","Homeostatic",0.67741935483871,31
-0.68860593618542,11.402345364529,3.31779214919103,0.0685362105442158,0.462381448220178,39,0.462381448220178,0.462381448220178,"NS","NS","DAM",0.980392156862745,102
-0.476392551005389,11.0604953467575,1.29130456087814,0.255809865728474,0.696964992078594,40,0.696964992078594,0.696964992078594,"NS","NS","DAM",1,53
0.131003554623616,10.9454082803307,0.0867268181129333,0.768380806724427,0.951895421574395,41,0.951895421574395,0.951895421574395,"NS","NS","DAM",0.837837837837838,37
-0.163152076480968,10.926964553684,0.127256395872061,0.721294441695812,0.93605631726486,42,0.93605631726486,0.93605631726486,"NS","NS","DAM",1,34
-0.509889926233909,11.0571958758307,1.44993160356533,0.228541219562204,0.670778836267918,43,0.670778836267918,0.670778836267918,"NS","NS","Homeostatic",1,51
0.705840333599976,10.9597126747599,2.6641809158319,0.102633178918837,0.523222439857343,44,0.523222439857343,0.523222439857343,"NS","NS","Homeostatic",0.897435897435897,39
0.569665474148373,10.9641674416911,1.74655232627626,0.186313172002252,0.640719456991814,45,0.640719456991814,0.640719456991814,"NS","NS","DAM",0.974358974358974,39
0.331323885983605,11.1676875252487,0.667295133995246,0.413997803782341,0.810884811239,46,0.810884811239,0.810884811239,"NS","NS","DAM",0.938461538461538,65
0.403164745589312,10.889381524653,0.852397501394952,0.355876771271557,0.773454772461562,47,0.773454772461562,0.773454772461562,"NS","NS","DAM",1,29
-0.502936889616422,10.8756817631165,1.33030401872448,0.248753356628204,0.689483269512983,48,0.689483269512983,0.689483269512983,"NS","NS","DAM",1,27
-0.471114573877989,11.4482823579725,1.58666661236205,0.207805393239378,0.657072615352181,49,0.657072615352181,0.657072615352181,"NS","NS","DAM",1,103
-0.481016071226573,11.1155769061879,1.30976966960958,0.252438564983521,0.693866069181508,50,0.693866069181508,0.693866069181508,"NS","NS","Homeostatic",0.947368421052632,57
0.875696177886137,10.9790315954894,4.03203822191649,0.0446461324559514,0.405361847485577,51,0.405361847485577,0.405361847485577,"NS","NS","DAM",1,40
0.0425150065128239,10.992546842706,0.0126141314613882,0.910575692907157,0.976633673405368,52,0.976633673405368,0.976633673405368,"NS","NS","DAM",1,43
-0.124064857075147,10.9054564986691,0.0783765330478282,0.779510123397312,0.951895421574395,53,0.951895421574395,0.951895421574395,"NS","NS","Homeostatic",0.96875,32
1.66647302630476,10.9648155152417,13.482157762666,0.00024094346181024,0.07115914854425,54,0.07115914854425,0.07115914854425,"FDR<0.1","AD-enriched","DAM",1,38
-0.352969102450285,10.81002974797,0.65909635682934,0.431974823715898,0.823772585663066,55,0.823772585663066,0.823772585663066,"NS","NS","DAM",0.727272727272727,22
1.18279411119142,11.0154457298261,7.20685387947608,0.00726353145760278,0.209516743503421,56,0.209516743503421,0.209516743503421,"NS","NS","DAM",1,43
-0.425330937793832,11.1541884718685,1.08622382525737,0.297311430325368,0.728823340438895,57,0.728823340438895,0.728823340438895,"NS","NS","DAM",0.696969696969697,66
-0.0865988008216369,11.2335621173781,0.0425036459271956,0.836663048432576,0.963625550150857,58,0.963625550150857,0.963625550150857,"NS","NS","DAM",1,79
-0.282888068649478,10.9505235012551,0.430208591761611,0.511887826721027,0.860943870744726,59,0.860943870744726,0.860943870744726,"NS","NS","DAM",1,39
0.307898430648207,11.1841230956861,0.554073171116021,0.456659564805867,0.834558397695109,60,0.834558397695109,0.834558397695109,"NS","NS","DAM",1,66
0.187868038511755,11.2138662473768,0.216750370576829,0.641528022335292,0.907197196068029,61,0.907197196068029,0.907197196068029,"NS","NS","DAM",1,67
-0.212144839286404,11.007110871487,0.25497146385394,0.61359696281164,0.90011272979551,62,0.90011272979551,0.90011272979551,"NS","NS","DAM",0.666666666666667,45
0.0144268085868821,10.8358960523219,0.00174954121657708,0.966636265599349,0.98538733589985,63,0.98538733589985,0.98538733589985,"NS","NS","DAM",1,24
0.436873733052813,11.5846403686192,1.49154159578886,0.221979741949679,0.669730805292276,64,0.669730805292276,0.669730805292276,"NS","NS","DAM",1,126
0.849219198407682,10.9133673786737,3.67846585064211,0.0551218326528498,0.430181411484643,65,0.430181411484643,0.430181411484643,"NS","NS","DAM",1,31
-0.440687032231674,10.7974646139653,1.06082298574347,0.303608947764656,0.738073275190543,66,0.738073275190543,0.738073275190543,"NS","NS","DAM",0.952380952380952,21
0.89460842155259,10.9751079317371,4.06875469800659,0.0436856123108794,0.40182061439301,67,0.40182061439301,0.40182061439301,"NS","NS","DAM",1,37
0.0287972664178982,11.1031215511888,0.00618100488487741,0.937335508992911,0.976633673405368,68,0.976633673405368,0.976633673405368,"NS","NS","DAM",1,61
