trajectory,n_AD,n_CN,median_AD,median_CN,delta,p_value,ci_low,ci_high,n_cells_AD,n_cells_CN,q_BH
astro,33,33,0.4177925247642872,0.3316284608113148,0.08616406395297238,0.06478728680177062,-0.014696817999995884,0.17756166649808336,14430,17271,0.09718093020265593
endo,31,30,0.6877761164801645,0.6481450510191659,0.039631065460998594,0.23398146262063868,-0.02708768121897165,0.12247012132969515,431,393,0.23398146262063868
micro,33,33,0.5521093916864892,0.4688366204662981,0.08327277122019111,0.024001453892338206,-0.015543429797419572,0.18206099752741783,12865,11258,0.07200436167701463
