"logFC","logCPM","F","PValue","FDR","gene"
-0.899705402488509,6.48249365417985,13.4701345851514,0.000549493923624517,0.718861109399258,"DOK6"
-0.759898570431618,8.98247919005013,13.3707553787585,0.000571162740587334,0.718861109399258,"ADGRL3"
1.55598764209559,5.7469363790949,12.7022634154925,0.000702062471951536,0.718861109399258,"MT1A"
0.493176585563087,6.57282241571099,12.7362506891563,0.000755017861637915,0.718861109399258,"SELENOP"
-0.775518584744144,8.7094297570465,12.6823089582939,0.000769072754722139,0.718861109399258,"DMD"
1.19881790161843,9.17482186537471,12.6285250600359,0.00078707420737145,0.718861109399258,"ATP1B3"
0.776846652582419,6.16104436534159,11.8533703400518,0.00109614421135665,0.775591345862384,"SAMHD1"
-0.390904739813866,7.85337007951244,11.681648618841,0.00119454531300457,0.775591345862384,"DCAF6"
0.88250113653302,6.06440697403434,11.5040153635657,0.00127378140743822,0.775591345862384,"LITAF"
0.663664710765239,6.47474085748183,11.2739787956896,0.00142922748386444,0.783216661157713,"RNF19B"
0.610142634536486,6.31801477270734,10.2640706319351,0.00225428009316863,0.908262525040509,"KRT10"
0.463656534622131,7.01248431790029,10.0727414530846,0.00247005020675045,0.908262525040509,"DYNLRB1"
-0.974724198066213,5.87945922867474,9.6911507490334,0.00288455066720938,0.908262525040509,"MMP16"
0.53320267699877,6.4356336598242,9.71706172603348,0.00290192122996357,0.908262525040509,"GRAMD1A"
0.612171611159908,7.07492676097862,9.69349599062484,0.00293939029322589,0.908262525040509,"EVA1B"
-0.372126464655551,7.57898874482432,9.66168272236387,0.00297873277533806,0.908262525040509,"ATE1"
-0.851124357976342,6.98173714669892,9.48540253994841,0.00323538314202031,0.908262525040509,"AC098829.1"
-0.299373348431228,8.73299962467065,9.22096546270207,0.00364773932086864,0.908262525040509,"TBL1XR1"
-0.806378400328737,6.94206584476443,9.04105466952334,0.00398193381186617,0.908262525040509,"CYP7B1"
-1.08318132181038,6.17677132578929,8.95986181386621,0.0040973056161171,0.908262525040509,"DLGAP1"
-0.366771682682697,9.04934894914626,8.8529424521476,0.00433425027637109,0.908262525040509,"ATXN1"
-0.723094725883237,8.01231351210657,8.80000588163494,0.00444906291827568,0.908262525040509,"DGKB"
-0.564502833013454,6.72868423820853,8.71142503439168,0.00464962048892591,0.908262525040509,"TBC1D19"
-0.493789785732724,6.31260162588475,8.68288443731315,0.00470554126121803,0.908262525040509,"KLHL7"
