sample,group,source,target,LR_Pair,panel,n_spots,ligand_detected_fraction,receptor_detected_fraction,all_subunits_available,missing_subunits,mean_spatial_score
2-5,CN,Astro_Intermediate,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,4282,0.03736571695469407,0.02802428771602055,True,,1.4824231558308915e-05
2-5,CN,Cerebrovascular_Pericyte,Astro_Reactive,COL1A1:CD44,6C,4282,0.010976179355441382,0.2389070527790752,True,,0.0001417492392165614
2-5,CN,CapEC_ActLow,Astro_Reactive,HBEGF:CD44,6C,4282,0.07846800560485755,0.2389070527790752,True,,0.08741765707325724
2-5,CN,Inhibitory,CapEC_ActHigh,SLIT2:ROBO4,6C,4282,0.22769733769266698,0.09201307800093414,True,,0.12417002706030277
2-5,CN,CapEC_ActHigh,Excitatory,CXCL10:DPP4,6C,4282,0.0014012143858010276,0.011676786548341896,True,,0.0
2-5,CN,Micro_DAM,CapEC_ActMid,TGFB1:ACVR1C/TGFBR2,6C,4282,0.12821111630079401,0.02802428771602055,True,,0.05481719843543644
2-5,CN,Astro_Reactive,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,4282,0.03736571695469407,0.02802428771602055,True,,1.6235393335622817e-05
2-5,CN,CapEC_ActHigh,OPCs,VWF:TNFRSF11B,6C,4282,0.5347968239140588,0.07403082671648763,True,,0.1343668663986779
2-5,CN,Oligodendrocytes,CapEC_ActMid,COL4A5:CD93,6C,4282,0.08080336291452592,0.11746847267631948,True,,0.08373960043971883
2-5,CN,Astro_Homeostatic,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,4282,0.03736571695469407,0.02802428771602055,True,,3.3686154752685536e-05
2-5,CN,CapEC_ActHigh,Cerebrovascular_Pericyte,ADM:PTH1R,6D,4282,0.08197104156936011,0.16230733302195235,True,,0.09049614980347812
2-5,CN,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:ITGA5/ITGB1,6D,4282,0.09574964969640355,0.025455394675385334,True,,0.00021583481597203154
2-5,CN,CapEC_ActHigh,CapEC_ActHigh,EDN1:ADGRL4,6D,4282,0.17865483418963102,0.07543204110228865,True,,0.10485271268801725
2-5,CN,CapEC_ActHigh,CapEC_ActMid,EDN1:ADGRL4,6D,4282,0.17865483418963102,0.07543204110228865,True,,0.10485271268801725
2-5,CN,CapEC_ActHigh,Astro_Reactive,COL4A2:CD44,6D,4282,0.1361513311536665,0.2389070527790752,True,,0.10642877284783371
2-5,CN,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:TIE1,6D,4282,0.09574964969640355,0.06071929005137786,True,,0.0801646987632528
