gene,available_GSE36980
RHBDF2,True
SLC38A11,True
PDGFRB,True
PTH1R,True
DGKB,True
GPC5,True
RNF152,True
GRM8,True
SLC6A12,True
INPP4B,True
CPM,True
CNTN4,True
GJC1,True
PDE7B,True
PLCE1,True
GRM3,True
COL4A3,True
CACNA1C,True
