"sample_id","(Intercept)","sexmale","GroupAD"
"D1_NC10","1","0","0"
"D1_NC16","1","0","0"
"D1_NC19","1","1","0"
"D1_NC22","1","0","0"
"D1_NC27","1","0","0"
"D1_NC3","1","1","0"
"D1_UC10","1","1","1"
"D1_UC13","1","0","1"
"D1_UC15","1","1","1"
"D1_UC18","1","0","1"
"D1_UC24","1","0","1"
"D1_UC26","1","1","1"
"D1_UC28","1","0","1"
"D1_UC3","1","1","1"
"D1_UC6","1","0","1"
