LR_Pair,sample,group,spatial_score_mean
SPARC:ENG,2-3,AD,0.1501657870128433
SPARC:ENG,2-5,CN,0.185560396556796
SPARC:ENG,2-8,AD,0.1905103725710441
SPARC:ENG,T4857,AD,0.1793591587678457
SPARC:FGFR1,1-1,CN,0.1300863182471976
SPARC:FGFR1,18-64,CN,0.1721586835072985
SPARC:FGFR1,2-3,AD,0.1594594422199917
SPARC:FGFR1,2-5,CN,0.2011645501115094
SPARC:FGFR1,2-8,AD,0.2254451222077927
SPARC:FGFR1,T4857,AD,0.2103951399573235
TGM2:ITGA9,1-1,CN,4.512904642819864e-05
TGM2:ITGA9,18-64,CN,0.1286307879036834
TGM2:ITGA9,2-3,AD,0.1139806027570151
TGM2:ITGA9,2-5,CN,0.1222991820324821
TGM2:ITGA9,2-8,AD,0.06779439156744
TGM2:ITGA9,T4857,AD,0.1014020689077555
TGM2:ITGB1,1-1,CN,0.0792029453534747
TGM2:ITGB1,18-64,CN,0.1308759208258355
TGM2:ITGB1,2-3,AD,0.1457372037546845
TGM2:ITGB1,2-5,CN,0.1666930026073109
TGM2:ITGB1,2-8,AD,0.1358108963141244
TGM2:ITGB1,T4857,AD,0.1311839480452803
TGM2:SDC4,1-1,CN,0.1247077683839566
TGM2:SDC4,18-64,CN,0.1519542998161952
TGM2:SDC4,2-3,AD,0.1576176732683638
TGM2:SDC4,2-5,CN,0.175036753431265
TGM2:SDC4,2-8,AD,0.1262274768200493
TGM2:SDC4,T4857,AD,0.1332142700506819
VEGFC:FLT1,1-1,CN,9.568983526332295e-06
VEGFC:FLT1,18-64,CN,5.6106085171726965e-05
VEGFC:FLT1,2-3,AD,0.0001506968985669
VEGFC:FLT1,2-5,CN,0.0535276400051805
VEGFC:FLT1,2-8,AD,0.0002253077259208
VEGFC:FLT1,T4857,AD,3.2124658692203015e-05
VWF:ITGB1,1-1,CN,0.12903561348588555
VWF:ITGB1,18-64,CN,0.18036786184614242
VWF:ITGB1,2-3,AD,0.16540427181013964
VWF:ITGB1,2-5,CN,0.18729612479518665
