"logFC","logCPM","F","PValue","FDR","gene"
-0.851044940138508,8.97432387388318,13.4933000762221,0.000619367775384754,0.934874955721916,"ADGRL3"
-0.487500907101346,8.97258348401684,11.3580333326696,0.00152284394257167,0.934874955721916,"MGAT5"
-0.890842150910386,6.52078873309494,11.3590410893248,0.00152583752678279,0.934874955721916,"DOK6"
1.2112902381467,8.86065921363323,11.3371453030178,0.00153740864838331,0.934874955721916,"ATP1B3"
0.957897870091243,6.07298629135361,11.257595182036,0.00156975897833919,0.934874955721916,"LITAF"
0.767613715033823,6.49873421980601,11.0711544700637,0.0017292550687458,0.934874955721916,"VWA1"
-0.474127629375301,6.16838342556528,11.0308930657462,0.00175308851812055,0.934874955721916,"CNOT10"
-0.404739011998211,7.14771146938428,10.8053640671588,0.00194475654277591,0.934874955721916,"JADE1"
-0.873609717673689,6.30085434228978,10.6803235813426,0.00204186636642708,0.934874955721916,"RGS7BP"
0.417357525318123,6.8266978267322,10.4617490574529,0.00226315741732173,0.934874955721916,"ZZEF1"
-0.755474850101258,8.48969185622696,10.3541181953186,0.00236170559117796,0.934874955721916,"DMD"
0.601006093509877,6.33553648052698,9.96113032251412,0.00281375640133257,0.934874955721916,"GRAMD1A"
1.47228123662816,5.68058982563308,9.56264359013034,0.00317661796985321,0.934874955721916,"MT1A"
0.65513711813186,6.14233375483185,9.48550550740011,0.00346759464287553,0.934874955721916,"SLFN5"
0.822280285328214,7.80408780391137,9.42658081117659,0.00357968769388505,0.934874955721916,"JUNB"
-0.235416205963413,8.81501498505706,9.2409538030238,0.00388562811162701,0.934874955721916,"SRPK2"
-0.392437681992957,9.01904453434505,9.21274215737311,0.00393527599806608,0.934874955721916,"ATXN1"
-0.601290746497853,7.10856020204658,9.14323284404177,0.00407614276731599,0.934874955721916,"GUCY1B1"
0.803452168426618,6.22242735813628,9.05596521829052,0.00421587323574694,0.934874955721916,"SERPINB1"
0.374553250888509,6.94627995190088,8.91851136002587,0.00451939280170038,0.934874955721916,"PITPNA"
-0.488598341381157,6.44077290363831,8.87194075963512,0.0046099662727018,0.934874955721916,"FMR1"
-0.382949006876143,6.76361046804344,8.78340858342779,0.00480714984372994,0.934874955721916,"USP31"
-0.436548300360458,7.05807003652942,8.74493991040651,0.00489093983539244,0.934874955721916,"DOPEY1"
-0.514047001774387,6.31086107236141,8.66864730224531,0.0050547797572496,0.934874955721916,"KLHL7"
-0.372010463906833,10.3186947624156,8.5788439335431,0.00526021444070385,0.934874955721916,"EPS8"
-0.703376331671091,7.12553168554724,8.54519971517279,0.00536073982993518,0.934874955721916,"CYSLTR2"
-0.837366492803936,6.956892951678,8.51944675566095,0.00542499440955455,0.934874955721916,"CYP7B1"
0.611871912945453,6.34692513054989,8.49210328046802,0.00548337322775006,0.934874955721916,"KRT10"
0.632221030319796,6.57319324124639,8.37730919012924,0.00579410470966706,0.934874955721916,"RNF19B"
0.728451226123107,6.21865995266898,8.06349303867627,0.00667805346333201,0.934874955721916,"SAMHD1"
-0.626680955756129,6.67601320396679,7.98543904645005,0.00695755354168913,0.934874955721916,"TBC1D19"
0.627918618512045,5.99113358321171,7.88070788859805,0.00724578124803082,0.934874955721916,"TSPO"
0.606018030633027,6.53712618231279,7.86661299154503,0.00735538995472706,0.934874955721916,"VPS28"
-1.08196188679204,6.08945625923599,7.81188433121551,0.00747364713226379,0.934874955721916,"DLGAP1"
0.349707306495339,8.30744784222391,7.74181958244129,0.00778608734547642,0.934874955721916,"RASSF8"
0.925857308098686,6.55895964253384,7.73271586602152,0.00782631589772031,0.934874955721916,"RAMP3"
0.429584622334696,7.09365382822526,7.62665132192127,0.00824314329823204,0.934874955721916,"DYNLRB1"
-0.286087439409563,7.37754425949249,7.53896527239179,0.00858653906803278,0.934874955721916,"LNPEP"
-0.513561178275742,6.01575235475779,7.52540391558776,0.00859463167470256,0.934874955721916,"PLEKHA8"
0.493962629596973,6.20764995672609,7.5039583550371,0.00871027976111018,0.934874955721916,"ATP6V1D"
-0.908274491833588,5.79509245766875,7.46515134664706,0.0087553071019853,0.934874955721916,"MMP16"
0.736299445624851,5.98588965404116,7.3988042644386,0.00910226792389386,0.934874955721916,"XBP1"
0.451838631717965,6.67207477263272,7.384751268347,0.00925023183070847,0.934874955721916,"XPO5"
0.80616555150743,6.63919379300586,7.32601124290201,0.00950619863531309,0.934874955721916,"GBP2"
