"logFC","logCPM","F","PValue","FDR","Nhood","Subtype","model","compartment"
-0.678546361394689,10.4582687722414,1.86247650501671,0.172341473024577,0.794428703295355,1,"Homeostatic","D1_APOE_sex_adjusted","Astrocytes"
-0.188233578305347,10.6452108233729,0.131651243000016,0.716726635571372,0.960477090574938,2,"Homeostatic","D1_APOE_sex_adjusted","Astrocytes"
-0.161577529828786,10.8612194227742,0.107257369259443,0.743288947503935,0.970957379348926,3,"Homeostatic","D1_APOE_sex_adjusted","Astrocytes"
0.424958465329151,10.4362416732267,0.772007251526498,0.37959833816986,0.888109887757087,4,"Intermediate","D1_APOE_sex_adjusted","Astrocytes"
0.1529162415168,10.7822048517174,0.0958827386282551,0.756828068169786,0.976376536222315,5,"Reactive","D1_APOE_sex_adjusted","Astrocytes"
0.189361563275038,10.5034470547269,0.149692131873799,0.698830338409103,0.96031477542683,6,"Homeostatic","D1_APOE_sex_adjusted","Astrocytes"
-0.449734995091679,10.4696926513522,0.815270491692614,0.366568177755649,0.888109887757087,7,"Homeostatic","D1_APOE_sex_adjusted","Astrocytes"
-0.612966774439396,10.501439309273,1.30534304485945,0.253241538702632,0.856623268853627,8,"Homeostatic","D1_APOE_sex_adjusted","Astrocytes"
-0.923221203466866,10.485737109174,3.36791270642352,0.0664800817361781,0.67545859218563,9,"Intermediate","D1_APOE_sex_adjusted","Astrocytes"
-0.545646203388038,10.9134361309341,1.24878480869649,0.263786644571973,0.856623268853627,10,"Intermediate","D1_APOE_sex_adjusted","Astrocytes"
-0.163296880581947,10.5224856442066,0.126089600241999,0.722521980523923,0.960669102194494,11,"Homeostatic","D1_APOE_sex_adjusted","Astrocytes"
-0.799888873261801,10.6170116101458,2.37006881118258,0.123683892305938,0.747502296816843,12,"Homeostatic","D1_APOE_sex_adjusted","Astrocytes"
-0.700632488423806,10.7019493448596,2.01623961573537,0.155626381924442,0.781938881370343,13,"Homeostatic","D1_APOE_sex_adjusted","Astrocytes"
-0.376817068661519,10.6363913105336,0.532920076883176,0.465383018291102,0.904925172121698,14,"Intermediate","D1_APOE_sex_adjusted","Astrocytes"
0.131726333595353,10.564782218817,0.0819775465601357,0.774635605310831,0.978079962953063,15,"Homeostatic","D1_APOE_sex_adjusted","Astrocytes"
-0.0213335410131704,10.5692229160414,0.00276657909800489,0.958052063270255,0.998359944396662,16,"Homeostatic","D1_APOE_sex_adjusted","Astrocytes"
0.0746165922884643,10.9768782203897,0.027111233154254,0.869215865117231,0.998359944396662,17,"Intermediate","D1_APOE_sex_adjusted","Astrocytes"
0.532160533035838,11.1495430101885,1.18038096334642,0.277280350259884,0.866528804585775,18,"Intermediate","D1_APOE_sex_adjusted","Astrocytes"
