dataset,comparison,n_case,n_control,mean_case,mean_control,delta,p_value,q_BH
DLPFC_Endothelial,dementia_vs_normal,39,44,0.03215724339230768,0.015375918768181819,0.016781324624125862,0.02341928424044492,0.04726900755431751
DLPFC_Endothelial,ADNC_High_vs_NotADRef,39,12,0.025503994584615386,0.02231373458333333,0.0031902600012820546,0.9328878362995143,0.9328878362995143
DLPFC_VLMC,dementia_vs_normal,39,44,0.20191370152564106,0.16650864918181818,0.03540505234382288,0.03545175566573813,0.04726900755431751
DLPFC_VLMC,ADNC_High_vs_NotADRef,39,12,0.1856286489615385,0.15289917166666667,0.03272947729487183,0.4305077912695595,0.5740103883594126
MTG_Endothelial,dementia_vs_normal,40,44,0.0069803374,0.0006700802772727272,0.0063102571227272725,0.0977063018653081,0.0977063018653081
MTG_Endothelial,ADNC_High_vs_NotADRef,40,14,0.0059028166425,0.0013277507857142857,0.004575065856785715,0.3221201496650806,0.5740103883594126
MTG_VLMC,dementia_vs_normal,42,45,0.18566904452380953,0.11494653557777777,0.07072250894603176,0.03331054846066659,0.04726900755431751
MTG_VLMC,ADNC_High_vs_NotADRef,42,12,0.1734999526190476,0.10880651949999999,0.06469343311904761,0.08991629258818175,0.359665170352727
